796.4993,810.6429,808.3347,798.1172,775.0123,806.3067,805.7323,829.0305,782.2904,769.4477,816.9727,831.0314,799.7491,787.5480,794.9744
800.4266,822.0975,911.5906,942.6693,1202.2569,880.1807,823.0857,856.1842,936.4314,849.6105,895.8430,885.2645,935.8531,838.9529,835.8602
798.2545,919.8611,1420.7572,1648.5254,4287.6972,1639.6936,919.9823,1341.5194,1771.6023,935.1019,1885.3311,1673.6450,2077.5427,1086.5573,1099.9270
817.9943,802.1076,2006.6093,2218.0961,17729.1993,8017.6568,1000.4246,5091.8618,7184.1532,1494.4704,17477.2976,9381.3569,34135.0356,3699.9070,3326.7794
794.7295,907.9454,1884.4353,2085.5829,9513.0425,5955.9197,1009.3794,4291.1220,4361.6457,978.0053,11403.4405,7551.4681,15890.2241,2372.8876,2383.4120
788.6687,887.4961,1332.0091,1263.5713,2247.6905,2258.6424,917.8304,1991.8246,1911.9014,758.0729,3441.1950,2996.5243,3954.3383,1259.6733,1332.3196
798.1695,855.7491,1924.3224,1582.3616,3639.1694,4297.7262,990.9609,3612.8559,4306.4743,948.2808,9228.4036,7049.8441,14482.4352,2129.0847,2198.3440
804.3226,799.1924,1194.9393,1157.9281,2121.2521,1990.8996,864.1828,1600.0697,2081.4363,946.0813,2964.4156,2363.8476,4014.8751,1367.3172,1359.9399
800.8526,798.5227,914.2080,901.3379,1186.6162,1131.6854,820.4117,1055.1147,1126.0282,848.9215,1360.4469,1224.5737,1567.4902,975.0022,968.8770
807.2928,766.8914,816.1892,844.2005,1041.5035,881.8863,788.0542,794.7103,966.4240,917.9138,912.7318,833.0113,1034.0493,896.3644,868.6140
792.2309,846.4889,1096.2224,999.3443,1326.2098,1536.0481,870.8349,1513.8975,1402.8058,764.2310,2210.2703,2023.4784,2560.7549,1081.0409,1118.3505
795.6949,858.4816,1628.1054,1460.0074,3701.9020,3795.1481,959.1576,3186.3083,3292.3782,900.0140,7377.7066,5558.4691,10533.6203,1899.2585,1940.7177
808.5574,792.8450,1377.3319,1377.0790,3766.9938,2979.5362,892.0462,2155.1601,3019.2245,1064.4668,4919.4120,3474.4308,7412.7989,1792.3058,1743.2201
803.3243,810.8242,1327.8626,1265.2438,2962.4355,2649.0553,894.7721,2136.1822,2551.4667,968.8843,4422.4537,3320.0878,6317.4944,1622.6861,1603.7651
797.3739,817.8300,948.7812,932.2678,1253.7764,1211.4006,833.9013,1139.2254,1146.0185,810.6157,1483.9875,1347.4665,1657.2548,977.0424,984.6453
797.7341,810.0212,884.0408,865.4746,1009.5872,1021.5827,819.6645,997.4751,988.6364,800.6743,1176.0792,1111.2612,1270.5012,899.3945,904.5607
799.2648,801.3492,852.9710,844.9340,953.2797,944.9177,810.1471,917.1719,937.0051,813.9533,1039.1385,990.0127,1110.8012,873.1339,872.9750
799.2036,798.9701,811.6017,810.3082,835.7789,832.4757,801.3222,824.5083,832.6373,804.2509,852.3534,841.1072,868.4344,817.0126,816.6638
799.0118,800.8305,828.3409,823.1949,876.2539,875.4886,805.3101,862.6858,870.7356,805.3261,924.3124,900.7165,959.2063,837.4852,837.9024
798.4433,803.7718,835.6646,827.7265,885.5257,891.8542,807.9293,881.1295,879.8503,799.5351,952.1653,927.2107,988.5031,841.6293,843.9734
