0.0568,0.3526,0.5804,0.5562,0.5512,0.6072,0.6598,0.5729,0.6795,0.6652,0.5812,0.5551,0.5789,0.4555,0.3202,0.4576,0.5889,0.6943,0.5037,0.6995,0.6409,0.5830,0.5714,0.4933,0.5589,0.4378,0.2759,0.2774,0.3812,0.4014,0.4703,0.4262,0.3986,0.5097,0.7081,0.0523,0.4111,0.6213,0.3791,0.2415,0.3464,0.2537,0.4520,0.3756,0.3464,0.5364,0.5251,0.6664,0.3999,0.6176,0.4647,0.3687,0.6801,0.4293,0.3663,0.6445
0.3609,0.3793,0.3938,0.5467,0.5891,0.5008,0.3713,0.4114,0.5488,0.4808,0.4050,0.4522,0.5383,0.4531,0.3069,0.5317,0.4316,0.4367,0.5723,0.6000,0.4560,0.5010,0.2749,0.3266,0.3412,0.3707,0.1218,0.5339,0.2911,0.3641,0.3063,0.4036,0.4932,0.1956,0.3395,0.3259,0.3889,0.5042,0.2165,0.3550,0.0606,0.3325,0.1925,0.5373,0.3802,0.2019,0.3040,0.3873,0.4142,0.4622,0.3787,0.3338,0.4209,0.4206,0.3262,0.4562
0.2659,0.4950,0.8080,0.4034,0.5070,0.5777,0.7328,0.5494,0.7222,0.6085,0.7755,0.3244,0.6545,0.6684,0.2495,0.3397,0.3550,0.7524,0.7483,0.8199,0.8802,0.9201,0.6108,0.6496,0.6000,0.5548,0.1733,0.5996,0.3294,0.4702,0.6056,0.4822,0.7018,0.4595,0.5817,0.2500,0.6497,0.4680,0.3647,0.4062,0.2024,0.4475,0.2653,0.5757,0.4788,0.3194,0.6123,0.4337,0.5151,0.4473,0.5273,0.5515,0.5622,0.5363,0.5486,0.5043
0.2056,0.3085,0.3784,0.6552,0.7044,0.6435,0.6205,0.4777,0.5787,0.7368,0.5638,0.7916,0.6563,0.4195,0.4422,0.5915,0.8447,0.6153,0.5708,0.6268,0.5227,0.5765,0.6598,0.6176,0.7137,0.6824,0.2821,0.7046,0.6486,0.6597,0.5752,0.5871,0.7799,0.5644,0.6803,0.2291,0.7436,0.7829,0.5528,0.4160,0.4246,0.4173,0.5639,0.8246,0.5830,0.6069,0.5963,0.7247,0.5209,0.8140,0.7143,0.5509,0.7382,0.7917,0.5335,0.7963
0.3274,0.6116,0.9149,0.3279,0.5000,0.4054,0.8747,0.3681,0.4143,0.6281,0.8956,0.5879,0.6815,0.4165,0.3558,0.5355,0.6462,0.8827,0.6635,0.6210,0.9283,0.8181,0.8123,0.8694,0.8642,0.8490,0.1741,0.5917,0.2825,0.6977,0.8098,0.7641,0.6916,0.4866,0.7542,0.4760,0.5998,0.7812,0.2626,0.7225,0.1214,0.7541,0.1823,0.7325,0.8213,0.4094,0.8660,0.6305,0.8059,0.7201,0.4287,0.8575,0.8180,0.6413,0.8541,0.7941
0.1008,0.3931,0.5796,0.4605,0.5543,0.3959,0.6806,0.4632,0.4268,0.6287,0.8083,0.7843,0.4643,0.4735,0.4199,0.6301,0.8519,0.6477,0.6068,0.5432,0.7152,0.7404,0.8705,0.8153,0.8492,0.8278,0.2635,0.7286,0.6342,0.7925,0.7654,0.6588,0.8475,0.6815,0.7267,0.3100,0.8171,0.7995,0.5794,0.4994,0.4345,0.5362,0.5864,0.9135,0.7058,0.6380,0.8155,0.7139,0.5667,0.8750,0.7708,0.7344,0.7725,0.8577,0.6986,0.8390
-0.0257,0.3317,0.5214,0.5759,0.5959,0.5442,0.7132,0.3980,0.3935,0.7459,0.7423,0.8388,0.5463,0.3416,0.4747,0.5979,0.9303,0.6862,0.4490,0.4078,0.5836,0.5942,0.8613,0.7507,0.8764,0.7902,0.3289,0.6198,0.7271,0.7748,0.7258,0.6367,0.8223,0.7605,0.8498,0.1449,0.7892,0.8399,0.6462,0.4095,0.5699,0.4354,0.7026,0.9013,0.6330,0.7850,0.7711,0.8384,0.5204,0.9330,0.7862,0.6489,0.8554,0.9172,0.6178,0.9026
0.2800,0.4433,0.7118,0.3975,0.6159,0.3328,0.5924,0.3420,0.3390,0.5893,0.8559,0.7490,0.4998,0.3936,0.4053,0.5345,0.8094,0.5808,0.6723,0.5237,0.8027,0.7956,0.8136,0.8695,0.8637,0.8624,0.1876,0.7793,0.5297,0.7967,0.7870,0.7071,0.9060,0.5748,0.6516,0.4345,0.8289,0.7783,0.4893,0.6355,0.2920,0.6595,0.4257,0.9195,0.7997,0.5078,0.7938,0.6248,0.6606,0.7945,0.7120,0.8107,0.7418,0.8405,0.7864,0.7965
0.2138,0.3678,0.5153,0.5355,0.6993,0.5221,0.7476,0.2820,0.3493,0.7799,0.7486,0.8157,0.6875,0.3138,0.4771,0.5689,0.8937,0.7431,0.5180,0.4062,0.5748,0.6384,0.8142,0.8016,0.8486,0.8233,0.2923,0.6790,0.5906,0.7876,0.7236,0.6905,0.8159,0.5882,0.7481,0.3347,0.7768,0.8347,0.5454,0.5717,0.3796,0.5855,0.5312,0.8597,0.7462,0.6195,0.8069,0.7390,0.6693,0.8744,0.7400,0.7451,0.8191,0.8227,0.7256,0.8622
0.5214,0.5714,0.8041,0.4145,0.4938,0.4484,0.7245,0.2184,0.3023,0.5741,0.7383,0.4958,0.7173,0.3385,0.3966,0.5007,0.5337,0.7765,0.5388,0.5348,0.7356,0.6107,0.6764,0.7476,0.6833,0.7202,0.0934,0.5556,0.0604,0.5639,0.6926,0.7003,0.5301,0.2616,0.5247,0.5761,0.3795,0.6228,-0.0194,0.7578,-0.1335,0.7695,-0.0191,0.5754,0.7777,0.1669,0.8145,0.4137,0.8495,0.5227,0.1487,0.8108,0.6252,0.3533,0.8126,0.6069
