0.5436,0.0487,0.4198,0.1744,0.3742,0.2020
0.3641,0.2003,0.4828,0.2761,0.2966,0.2567
0.4432,0.2206,0.6973,0.3928,0.3063,0.3176
0.3696,0.2550,0.6348,0.2747,0.4424,0.3181
0.4906,0.2390,0.6147,0.2955,0.4988,0.3307
0.3525,0.1848,0.4118,0.1852,0.2379,0.1504
0.3599,0.1355,0.3938,0.2068,0.3577,0.2420
0.3729,0.1896,0.5923,0.3234,0.4446,0.3759
0.3406,0.1906,0.5706,0.2467,0.3364,0.2635
0.4565,0.2323,0.6282,0.3833,0.3780,0.3418
0.5326,0.2032,0.3304,0.3360,0.5928,0.4605
0.2760,0.2028,0.3243,0.3807,0.6930,0.5623
0.5179,0.0676,0.6021,0.8002,0.5247,0.5805
0.3777,0.2119,0.2986,0.4299,0.6577,0.5700
0.1296,0.2302,0.3646,0.5116,0.5314,0.6697
0.5648,0.0295,0.5873,0.8082,0.5101,0.6969
0.4181,0.1672,0.6105,0.9219,0.3979,0.5772
0.5175,-0.0213,0.5013,0.7308,0.4304,0.6942
0.3870,0.1935,0.4706,0.8267,0.3354,0.5824
0.5572,0.0888,0.6852,0.9347,0.5022,0.7566
0.4777,0.1534,0.5940,0.8832,0.5973,0.8003
0.5516,0.1181,0.5274,0.8359,0.7155,0.8506
0.4134,0.1298,0.5611,0.7943,0.4012,0.7710
0.3253,0.1391,0.3911,0.7263,0.5893,0.8797
0.4533,0.0691,0.5685,0.8565,0.4311,0.8139
0.4550,0.2301,0.3620,0.4859,0.7741,0.5519
