0.2019,0.1876,0.3599,0.7555,0.5335,0.5333,0.6891,0.5822,0.7095
0.7147,0.3803,0.4427,0.5859,0.6841,0.6599,0.5950,0.7625,0.5985
0.4656,0.7077,0.5818,0.2197,0.2928,0.4043,0.2626,0.2594,0.1481
0.4280,0.4223,0.3155,0.2995,0.2882,0.3750,0.3519,0.3845,0.2400
0.4585,0.5600,0.6725,0.4471,0.5569,0.4912,0.4507,0.5799,0.4721
0.4551,0.7056,0.5497,0.4887,0.3496,0.5235,0.3781,0.5938,0.4786
0.6440,0.3744,0.5772,0.9269,0.8862,0.6660,0.8703,0.7430,0.9431
0.4748,0.3904,0.5058,0.8850,0.6613,0.7563,0.7648,0.8757,0.8723
0.6138,0.1550,0.2967,0.3743,0.5493,0.3126,0.4318,0.3628,0.4240
0.2822,0.3594,0.5493,0.7202,0.6007,0.4335,0.6793,0.5191,0.6932
0.6621,0.3579,0.5278,0.4575,0.4904,0.6284,0.4015,0.7415,0.4859
0.3205,0.4607,0.7645,0.8254,0.7497,0.5839,0.7888,0.6870,0.8278
0.4429,0.4832,0.6766,0.9187,0.7606,0.7335,0.8150,0.8497,0.9150
0.6751,0.3307,0.5730,0.9553,0.9016,0.6877,0.9005,0.8008,0.9670
0.7711,0.3420,0.6208,0.8588,0.9396,0.5952,0.8572,0.6216,0.8700
0.1884,0.3674,0.3504,0.5340,0.3376,0.4492,0.5008,0.5411,0.4936
0.5767,0.2882,0.5124,0.9798,0.8469,0.7201,0.9074,0.8202,0.9681
0.6322,0.3789,0.5975,0.9832,0.8913,0.7260,0.9159,0.8239,0.9852
0.6303,0.2700,0.5070,0.9664,0.8657,0.7385,0.8937,0.8667,0.9747
0.6715,0.2762,0.4905,0.9651,0.8929,0.7049,0.9245,0.8092,0.9636
0.6387,0.2978,0.4544,0.9304,0.8163,0.7581,0.8424,0.8998,0.9423
0.5704,0.3579,0.5609,0.9416,0.8072,0.7465,0.8399,0.8949,0.9553
0.6253,0.2937,0.5326,0.9790,0.8785,0.7239,0.9128,0.8391,0.9812
0.4508,0.6235,0.7684,0.8123,0.7419,0.6955,0.7138,0.8450,0.8298
0.7209,0.4524,0.4362,0.7996,0.8172,0.6070,0.8252,0.7886,0.7907
0.6498,0.4038,0.5043,0.9428,0.8457,0.7463,0.8514,0.8432,0.9533
0.7670,0.7088,0.5878,0.4438,0.6343,0.4765,0.4868,0.6445,0.3908
0.6150,0.3788,0.6729,0.8507,0.8549,0.6692,0.8011,0.8143,0.8967
0.5157,0.3328,0.5093,0.8922,0.6642,0.8020,0.7676,0.8982,0.8666
0.7006,0.2431,0.4234,0.9034,0.8753,0.7018,0.8769,0.8168,0.9133
0.5455,0.3312,0.5166,0.9646,0.7952,0.7640,0.8624,0.8871,0.9616
