-0.1780,0.4361,0.0310,0.2280,0.0882,0.1391,0.2428,0.4468,0.2876,0.1216,-0.2891,0.3582,0.0620,0.1023,0.5598,-0.2927,0.0547,0.4183,-0.0590,0.3221,0.3772,-0.4359,0.3252,0.5747,0.2960,-0.0344,-0.0775,0.2663,0.5600,-0.3528,0.1446
0.4074,0.5169,0.4564,0.6658,0.4693,0.4561,0.3811,0.3693,0.4495,0.4271,0.1686,0.3454,0.4945,0.5748,0.6559,0.2554,0.4837,0.4202,0.4411,0.6094,0.5108,0.2561,0.4927,0.4964,0.5674,0.3935,0.3205,0.4439,0.4892,0.2411,0.3572
0.5406,0.4855,0.6420,0.3868,0.5122,0.4436,0.5249,0.2901,0.5937,0.4848,0.3634,0.2083,0.4513,0.4792,0.3951,0.3536,0.4496,0.5445,0.7019,0.3291,0.5286,0.4600,0.4254,0.3790,0.5990,0.5769,0.5199,0.4703,0.4059,0.4852,0.5402
0.5952,0.4167,0.6030,0.3323,0.3185,0.2160,0.4079,0.1709,0.3927,0.4156,0.2328,0.1600,0.1939,0.4275,0.3041,0.4482,0.3247,0.3998,0.7357,0.1039,0.3620,0.3954,0.1425,0.2311,0.4966,0.4515,0.3502,0.2420,0.3168,0.3327,0.3428
0.4507,0.4020,0.4203,0.4291,0.2627,0.2074,0.3463,0.2039,0.3148,0.3022,0.0718,0.2374,0.2122,0.4402,0.3776,0.3000,0.2221,0.3955,0.5715,0.2350,0.2777,0.2066,0.1427,0.2582,0.3840,0.2429,0.1194,0.2088,0.3900,0.1414,0.2365
0.4693,0.6549,0.6670,0.4678,0.4863,0.3767,0.5602,0.3580,0.5298,0.4441,0.1617,0.2211,0.3341,0.5158,0.4580,0.2709,0.3472,0.5921,0.6378,0.3246,0.5300,0.3481,0.3672,0.4542,0.4576,0.4053,0.4124,0.4409,0.5796,0.3102,0.4989
0.3073,0.2908,0.2500,0.3551,0.2526,0.2578,0.2324,0.2104,0.2175,0.2366,0.1104,0.2437,0.2190,0.3823,0.4054,0.1839,0.2086,0.2974,0.3102,0.3128,0.3175,0.0628,0.2224,0.2490,0.3700,0.2530,0.1234,0.2662,0.3481,0.0858,0.1631
0.4864,0.4058,0.5428,0.4599,0.1887,0.1761,0.3496,0.2399,0.3937,0.4017,0.1746,0.2462,0.2221,0.4346,0.4415,0.3482,0.3213,0.4100,0.6286,0.2468,0.3955,0.2224,0.1534,0.3066,0.5098,0.3952,0.2517,0.1896,0.3500,0.1363,0.2619
0.4420,0.5390,0.5843,0.3889,0.3216,0.2233,0.4404,0.3397,0.4821,0.4379,0.1692,0.2686,0.2200,0.3674,0.5350,0.3228,0.3925,0.5185,0.6208,0.2901,0.5191,0.1875,0.3031,0.4443,0.5301,0.4585,0.3504,0.3238,0.4623,0.1676,0.3784
0.4395,0.4330,0.4577,0.3306,0.2506,0.1508,0.3563,0.2175,0.3614,0.3475,0.0551,0.2020,0.1327,0.3842,0.3916,0.2988,0.2279,0.4016,0.5644,0.1543,0.3577,0.1792,0.1201,0.3087,0.4340,0.3131,0.1930,0.2078,0.3971,0.1240,0.2499
0.4795,0.3943,0.4915,0.3582,0.3363,0.2529,0.3934,0.1946,0.3220,0.3234,0.2012,0.1801,0.2446,0.4107,0.2614,0.3864,0.2039,0.3693,0.6001,0.1743,0.3017,0.3527,0.1596,0.2105,0.3640,0.3254,0.2854,0.2580,0.3573,0.2894,0.3215
0.4282,0.4096,0.4320,0.3752,0.2977,0.2420,0.3511,0.1820,0.3079,0.3315,0.1789,0.1889,0.2102,0.3963,0.2229,0.2972,0.1858,0.3393,0.5448,0.1926,0.3072,0.2917,0.1679,0.2041,0.4047,0.2818,0.2263,0.2615,0.3009,0.2446,0.2773
0.5237,0.4241,0.4419,0.4202,0.3360,0.2537,0.3876,0.1556,0.3004,0.3259,0.1977,0.1937,0.2552,0.4639,0.2737,0.3356,0.2469,0.3594,0.6120,0.2138,0.3131,0.3386,0.1745,0.2157,0.3562,0.3148,0.2410,0.2688,0.3606,0.2879,0.2872
0.4993,0.5669,0.5980,0.3931,0.4272,0.3656,0.5136,0.4278,0.6302,0.5023,0.1976,0.2924,0.3638,0.3814,0.5981,0.2031,0.4940,0.6740,0.5454,0.4603,0.6076,0.1770,0.4836,0.6167,0.6066,0.4882,0.4444,0.4890,0.5932,0.2284,0.5217
0.4036,0.4149,0.5361,0.3514,0.4638,0.4210,0.4529,0.2458,0.4229,0.3908,0.3622,0.1560,0.4141,0.3781,0.2684,0.2537,0.4357,0.4307,0.4931,0.3482,0.4191,0.4149,0.3887,0.3282,0.4162,0.4561,0.4735,0.4442,0.3634,0.4418,0.4746
0.3647,0.4913,0.3336,0.3951,0.3988,0.2825,0.3792,0.3801,0.5180,0.2759,0.1404,0.2602,0.2770,0.3575,0.4442,-0.0183,0.3010,0.5573,0.2486,0.3693,0.3898,0.0735,0.4218,0.5352,0.4447,0.2741,0.2668,0.3998,0.5437,0.1068,0.4128
0.4877,0.6228,0.6161,0.6880,0.6565,0.6469,0.6208,0.2847,0.5381,0.4067,0.4202,0.2245,0.6456,0.7310,0.3112,0.4669,0.4901,0.6041,0.6993,0.5872,0.5047,0.6268,0.5540,0.3689,0.4694,0.4840,0.5769,0.6168,0.4966,0.6099,0.6431
0.5188,0.5346,0.6342,0.6481,0.4569,0.5459,0.4911,0.4788,0.6748,0.5971,0.2702,0.3848,0.5823,0.5187,0.7432,0.3011,0.6946,0.6687,0.6098,0.6930,0.7129,0.2824,0.6404,0.6925,0.7418,0.6280,0.5582,0.5696,0.5493,0.3089,0.5687
0.4655,0.6509,0.5951,0.6807,0.7847,0.7189,0.6411,0.3609,0.7047,0.4873,0.4516,0.1988,0.7645,0.7609,0.4288,0.3389,0.6967,0.6863,0.5878,0.6586,0.6273,0.6829,0.7087,0.4771,0.5790,0.6625,0.6959,0.7209,0.5613,0.6886,0.7520
0.4749,0.5829,0.5657,0.5224,0.5080,0.3780,0.5072,0.3011,0.5134,0.3765,0.1390,0.1754,0.3553,0.5352,0.3930,0.2405,0.2817,0.5912,0.5352,0.3536,0.4868,0.3335,0.3682,0.4435,0.3783,0.3736,0.3651,0.4421,0.5566,0.2961,0.4821
0.4805,0.6563,0.7773,0.7304,0.9002,0.8504,0.7373,0.4037,0.7583,0.6359,0.6158,0.2434,0.8748,0.7700,0.5258,0.4418,0.8870,0.7092,0.6496,0.8165,0.7651,0.8116,0.8257,0.5735,0.6854,0.8328,0.9050,0.8512,0.5223,0.8442,0.8854
0.3349,0.6612,0.6093,0.7917,0.7732,0.7971,0.6194,0.5535,0.7763,0.5874,0.3605,0.4220,0.7997,0.6639,0.8324,0.2324,0.7914,0.7727,0.4631,0.9367,0.8465,0.4110,0.9041,0.8181,0.7863,0.7084,0.6995,0.8535,0.6353,0.4911,0.7812
0.3606,0.7544,0.6999,0.7753,0.8956,0.8909,0.7461,0.5472,0.8271,0.6347,0.4732,0.3712,0.8781,0.7255,0.7471,0.2734,0.8476,0.8383,0.5191,0.9568,0.8623,0.5735,0.9442,0.7994,0.7606,0.7503,0.8273,0.9250,0.6887,0.6606,0.8965
0.4256,0.6531,0.6675,0.7670,0.8518,0.8389,0.6537,0.4819,0.7593,0.6255,0.4978,0.3681,0.8467,0.7216,0.7436,0.3900,0.8529,0.7280,0.5500,0.9043,0.8006,0.6064,0.8825,0.7079,0.7553,0.8154,0.7983,0.8555,0.5648,0.6684,0.8338
0.4599,0.6869,0.7482,0.7270,0.8291,0.7768,0.7214,0.3949,0.7076,0.5548,0.5207,0.1921,0.7855,0.8261,0.3858,0.4292,0.7174,0.7356,0.6848,0.7099,0.7015,0.7622,0.7502,0.5164,0.5417,0.7114,0.7839,0.7807,0.5559,0.7710,0.8350
0.2820,0.8579,0.7186,0.6981,0.8229,0.7992,0.7913,0.5613,0.8388,0.5786,0.3297,0.3125,0.7729,0.6753,0.7128,0.0881,0.7025,0.9122,0.5716,0.8736,0.8880,0.4462,0.9061,0.8322,0.6457,0.6899,0.7313,0.9014,0.8107,0.5281,0.8754
