0.5491,0.7068,0.7884,0.4590,0.6680,0.5501,0.6637,0.6038,0.6695,0.5133,0.3970,0.3412,0.4338,0.4468,0.4552,0.5035,0.4221,0.4387,0.4113,0.4740,0.4441,0.4250,0.4661,0.4593,0.4669,0.5548,0.5108,0.4547,0.4658,0.4710,0.4728,0.4224
0.6516,0.8280,0.4626,0.6830,0.5666,0.6433,0.5040,0.5336,0.5106,0.5321,0.6943,0.6995,0.6382,0.5284,0.6244,0.6499,0.6754,0.6713,0.6628,0.6157,0.6601,0.7109,0.6261,0.6276,0.6457,0.5757,0.6290,0.6736,0.6617,0.6399,0.6845,0.6737
0.4760,0.6098,0.7319,0.4684,0.6147,0.5526,0.6767,0.5011,0.6443,0.5523,0.5046,0.4024,0.4487,0.4258,0.4798,0.4249,0.3746,0.4215,0.4221,0.4508,0.4013,0.2938,0.4230,0.4792,0.5558,0.4862,0.4507,0.4029,0.4208,0.4221,0.3924,0.3932
0.5269,0.5916,0.3465,0.6479,0.5193,0.7222,0.6115,0.6605,0.5758,0.7392,0.8708,0.8470,0.8631,0.8078,0.7797,0.7453,0.8394,0.8326,0.8050,0.8117,0.8208,0.8092,0.8138,0.7862,0.8281,0.7067,0.7571,0.8233,0.8030,0.8025,0.7945,0.8403
0.4509,0.6882,0.6986,0.2765,0.4864,0.5188,0.8240,0.7482,0.8737,0.9167,0.8520,0.7905,0.8544,0.7420,0.8864,0.9097,0.8146,0.8520,0.8611,0.8877,0.8533,0.7731,0.8685,0.9017,0.8813,0.9416,0.9048,0.8525,0.8713,0.8960,0.8669,0.8298
0.5376,0.4010,0.5337,0.6153,0.5905,0.7827,0.7416,0.6919,0.7016,0.7699,0.8132,0.7620,0.7964,0.7967,0.6527,0.6597,0.7480,0.7444,0.7510,0.7632,0.7452,0.6945,0.7576,0.7207,0.7689,0.7010,0.7121,0.7340,0.7271,0.7266,0.7068,0.7529
0.5124,0.6712,0.4793,0.5492,0.5210,0.6903,0.7061,0.6303,0.6935,0.8637,0.9562,0.8944,0.8992,0.7695,0.8783,0.8630,0.8645,0.8887,0.8862,0.8794,0.8716,0.8200,0.8657,0.8996,0.9292,0.8082,0.8466,0.8742,0.8712,0.8848,0.8616,0.8770
0.5074,0.6286,0.4486,0.5489,0.4529,0.6743,0.6462,0.7392,0.7549,0.9003,0.9574,0.9400,0.9385,0.8470,0.8661,0.8852,0.9223,0.9302,0.9315,0.9286,0.9256,0.8885,0.9222,0.9189,0.9219,0.8575,0.8959,0.9238,0.9177,0.9220,0.9102,0.9296
0.5342,0.6471,0.5494,0.4370,0.2517,0.4102,0.6030,0.7334,0.8461,0.9092,0.9026,0.8621,0.8700,0.7236,0.9250,0.9305,0.8654,0.9011,0.8946,0.9014,0.8863,0.8276,0.8860,0.9412,0.9056,0.8890,0.9147,0.8968,0.9098,0.9178,0.9032,0.8796
0.5467,0.5788,0.5019,0.3491,0.3805,0.6589,0.6987,0.8751,0.8626,0.9396,0.9097,0.9457,0.9405,0.9174,0.8065,0.8925,0.9440,0.9388,0.9518,0.9585,0.9545,0.9329,0.9609,0.9137,0.8623,0.9193,0.9399,0.9424,0.9448,0.9379,0.9399,0.9523
0.4845,0.5943,0.4290,0.5057,0.4195,0.6857,0.6550,0.7699,0.7637,0.9087,0.9704,0.9463,0.9587,0.8749,0.8881,0.8921,0.9361,0.9447,0.9356,0.9424,0.9385,0.8983,0.9376,0.9276,0.9348,0.8725,0.9072,0.9364,0.9305,0.9347,0.9202,0.9450
0.5634,0.5153,0.5697,0.3317,0.4125,0.6116,0.7080,0.8167,0.8668,0.9431,0.9335,0.9156,0.9364,0.8693,0.8666,0.8952,0.9143,0.9294,0.9254,0.9434,0.9289,0.8754,0.9368,0.9277,0.9129,0.9049,0.9263,0.9241,0.9290,0.9291,0.9160,0.9267
0.7074,0.6106,0.7096,0.3424,0.5052,0.4342,0.7200,0.6608,0.8137,0.7617,0.6564,0.5929,0.6564,0.5689,0.7345,0.7362,0.6315,0.6732,0.6625,0.7006,0.6685,0.5853,0.6795,0.7324,0.6975,0.7511,0.7281,0.6752,0.6911,0.7084,0.6845,0.6427
