0.6736,0.3114,0.2289,0.2465,0.2996,0.4236,0.4448,0.5666,0.7111,0.5880,0.0006,0.7186,0.3862,0.3781,0.5755,0.3958,0.5389,0.5815,0.4496,0.4485,0.5301,0.5798,0.4076,0.5551,0.5269,0.5193,0.5246,0.5242,0.5760,0.5674,0.6617,0.3523,0.6630,0.5000,0.5108,0.3135,0.1751,0.6800,0.3843,0.5634,0.5020,0.5286,0.5907,0.3550,0.4984
0.3990,0.2906,0.1951,0.5025,0.6253,0.5603,0.6691,0.2411,0.4359,0.2370,0.6019,0.0655,0.4922,0.4901,0.1055,0.4097,0.1413,0.1373,0.2623,0.2281,0.2341,0.2535,0.2923,0.2234,0.1575,0.2256,0.1651,0.2880,0.1857,0.1268,0.1302,0.3061,0.1157,0.1758,0.2616,0.3323,0.5277,0.0682,0.4460,0.1059,0.2218,0.2320,0.1595,0.3025,0.1956
0.6285,0.2388,0.2295,0.3718,0.3022,0.6993,0.5782,0.6943,0.2942,0.7015,0.4969,0.7434,0.6927,0.5889,0.8314,0.6540,0.8152,0.7701,0.7726,0.7722,0.8035,0.7190,0.7123,0.7436,0.8069,0.7513,0.7844,0.8253,0.7611,0.8353,0.7243,0.6956,0.7507,0.7789,0.7170,0.6763,0.6369,0.7680,0.5948,0.7946,0.7584,0.8390,0.7363,0.7204,0.7553
0.7837,0.2485,0.1329,0.2694,0.4859,0.7215,0.8959,0.6303,0.5480,0.5377,0.6191,0.3981,0.8062,0.7533,0.5993,0.4875,0.6013,0.6173,0.6664,0.5996,0.5159,0.6116,0.6081,0.5718,0.6221,0.5989,0.5583,0.4958,0.5459,0.5686,0.5584,0.6266,0.5455,0.5974,0.6156,0.6347,0.6112,0.5043,0.6962,0.5820,0.5358,0.5741,0.6255,0.5709,0.5585
0.7431,0.1563,0.1264,0.1768,0.1724,0.5315,0.5753,0.8853,0.4260,0.8188,0.4489,0.8005,0.7391,0.7338,0.9162,0.6987,0.8925,0.8946,0.8782,0.8396,0.8415,0.8343,0.8118,0.8562,0.9074,0.8501,0.8568,0.8109,0.8699,0.8920,0.8475,0.8295,0.8429,0.8909,0.8400,0.8111,0.5996,0.8569,0.7750,0.9094,0.8354,0.8507,0.8674,0.7865,0.8519
0.6899,0.2025,0.1232,0.1839,0.2464,0.5205,0.5882,0.7203,0.4898,0.7129,0.6294,0.6949,0.7326,0.6136,0.7882,0.8938,0.8383,0.7624,0.8166,0.8869,0.9154,0.8525,0.8550,0.8675,0.8188,0.8588,0.8892,0.8999,0.8591,0.8297,0.7679,0.8211,0.7919,0.8474,0.8534,0.8071,0.7543,0.7836,0.7411,0.7944,0.8999,0.8617,0.7549,0.8519,0.9023
0.6971,0.2804,0.1787,0.1990,0.3683,0.4803,0.7860,0.6523,0.6027,0.5048,0.5020,0.6916,0.7452,0.7713,0.6255,0.8443,0.7110,0.7116,0.7114,0.7610,0.7645,0.8284,0.7859,0.8104,0.6909,0.8020,0.7895,0.7977,0.7985,0.7081,0.7462,0.7489,0.7496,0.7492,0.8009,0.7046,0.6541,0.7095,0.8211,0.7102,0.8138,0.6700,0.7365,0.6989,0.7944
0.4978,0.3715,0.2033,0.2408,0.5252,0.7465,0.6025,0.6711,0.4558,0.6342,0.4853,0.4974,0.6144,0.6170,0.6258,0.4352,0.5942,0.5099,0.5653,0.5461,0.6298,0.4222,0.4782,0.4677,0.5824,0.4728,0.5323,0.6361,0.4833,0.6319,0.4166,0.5265,0.4670,0.5481,0.4464,0.5346,0.5593,0.5135,0.5374,0.5347,0.5180,0.7002,0.4799,0.5872,0.5359
0.8254,0.1779,0.1280,0.1671,0.2662,0.4952,0.7848,0.8543,0.5441,0.6524,0.6043,0.7408,0.8402,0.8637,0.7584,0.9125,0.8273,0.8474,0.8741,0.8836,0.7993,0.9240,0.9137,0.9126,0.8425,0.9165,0.8885,0.8171,0.9002,0.8143,0.8469,0.8889,0.8467,0.8812,0.9274,0.8718,0.6861,0.8345,0.9259,0.8511,0.9004,0.6945,0.8459,0.8396,0.8918
0.6533,0.1404,0.0969,0.1432,0.2433,0.3718,0.6351,0.7560,0.6006,0.6449,0.0521,0.9517,0.5557,0.5793,0.7828,0.5911,0.7681,0.8268,0.6849,0.6671,0.7159,0.8062,0.6310,0.7849,0.7606,0.7509,0.7494,0.7174,0.8048,0.7665,0.8953,0.5813,0.8934,0.7350,0.7533,0.5120,0.3005,0.8976,0.5914,0.8071,0.7261,0.6921,0.8411,0.5436,0.7093
0.7847,0.0788,0.0871,0.0935,0.1115,0.4452,0.6577,0.8566,0.4943,0.7545,0.4973,0.8996,0.7923,0.7423,0.9510,0.8791,0.9731,0.9571,0.9369,0.9518,0.9505,0.9723,0.9214,0.9777,0.9669,0.9687,0.9787,0.9472,0.9858,0.9582,0.9529,0.8944,0.9671,0.9674,0.9604,0.8623,0.6735,0.9578,0.8139,0.9707,0.9668,0.9008,0.9517,0.8612,0.9670
0.8589,0.0896,0.0725,0.0954,0.0981,0.5055,0.7757,0.9002,0.4840,0.7718,0.6520,0.8108,0.9118,0.8503,0.9426,0.9023,0.9773,0.9632,0.9867,0.9829,0.9326,0.9763,0.9717,0.9803,0.9816,0.9876,0.9838,0.9246,0.9773,0.9620,0.9199,0.9631,0.9309,0.9893,0.9805,0.9461,0.7514,0.9165,0.9047,0.9731,0.9738,0.8830,0.9484,0.9179,0.9774
0.8074,0.0910,0.0741,0.0922,0.0889,0.5644,0.7010,0.8643,0.3823,0.7900,0.6900,0.7717,0.8917,0.8321,0.9286,0.9145,0.9672,0.9318,0.9857,0.9910,0.9604,0.9469,0.9756,0.9744,0.9749,0.9722,0.9804,0.9361,0.9672,0.9488,0.8658,0.9608,0.9055,0.9851,0.9543,0.9515,0.7978,0.8836,0.8842,0.9554,0.9800,0.9122,0.8994,0.9626,0.9848
0.7876,0.1693,0.0798,0.1225,0.2253,0.6957,0.7474,0.8440,0.4518,0.8214,0.6758,0.6993,0.8819,0.8652,0.9069,0.8283,0.9251,0.9051,0.9718,0.9396,0.9060,0.8857,0.9285,0.9136,0.9462,0.9198,0.9192,0.8726,0.9063,0.9096,0.7998,0.9339,0.8377,0.9459,0.8858,0.9228,0.7796,0.8240,0.8953,0.9213,0.9075,0.8888,0.8564,0.9427,0.9264
0.7785,0.1126,0.0860,0.1183,0.1508,0.5092,0.7577,0.7865,0.4177,0.6715,0.7776,0.5948,0.8922,0.8928,0.7502,0.9557,0.8325,0.8099,0.9166,0.9331,0.8361,0.8933,0.9678,0.9104,0.8548,0.9177,0.8982,0.8208,0.8857,0.8102,0.7397,0.9555,0.7706,0.9053,0.9093,0.9594,0.8247,0.7327,0.9329,0.8332,0.9233,0.7485,0.7899,0.9426,0.9247
0.8563,0.0823,0.0684,0.1001,0.1169,0.5472,0.7844,0.8922,0.4566,0.7705,0.6927,0.7672,0.9265,0.8834,0.9223,0.9178,0.9639,0.9465,0.9941,0.9865,0.9265,0.9676,0.9854,0.9785,0.9734,0.9842,0.9770,0.9083,0.9694,0.9422,0.8862,0.9768,0.9075,0.9879,0.9746,0.9661,0.7783,0.8842,0.9307,0.9594,0.9747,0.8743,0.9256,0.9439,0.9797
0.7599,0.1062,0.0789,0.0892,0.1448,0.5645,0.6168,0.8679,0.3401,0.8245,0.4981,0.8870,0.7895,0.7148,0.9903,0.8042,0.9824,0.9627,0.9454,0.9336,0.9446,0.9244,0.8878,0.9408,0.9808,0.9379,0.9552,0.9353,0.9571,0.9774,0.9234,0.8813,0.9416,0.9624,0.9114,0.8519,0.6666,0.9502,0.7796,0.9800,0.9288,0.9323,0.9349,0.8578,0.9387
0.8423,0.0483,0.0673,0.0847,0.0591,0.4853,0.7453,0.8969,0.4454,0.7842,0.6240,0.8256,0.8905,0.8494,0.9440,0.9174,0.9792,0.9675,0.9910,0.9875,0.9435,0.9849,0.9783,0.9953,0.9858,0.9949,0.9920,0.9307,0.9912,0.9610,0.9232,0.9627,0.9448,0.9965,0.9821,0.9417,0.7422,0.9247,0.9062,0.9798,0.9857,0.8872,0.9487,0.9307,0.9888
0.7843,0.0621,0.0931,0.0949,0.0960,0.4331,0.6556,0.8656,0.4375,0.7735,0.5520,0.8775,0.8034,0.7838,0.9410,0.9024,0.9719,0.9577,0.9539,0.9647,0.9449,0.9748,0.9444,0.9828,0.9701,0.9799,0.9831,0.9516,0.9895,0.9596,0.9375,0.9203,0.9555,0.9774,0.9634,0.8912,0.7066,0.9497,0.8555,0.9748,0.9723,0.8839,0.9424,0.8918,0.9732
