0.5268,0.5387,0.7859,0.6927,0.6201,0.4470,0.6951,0.6745,0.6205,0.4355,0.5312,0.6586,0.4927,0.3994,0.3899,0.4533,0.4686,0.5520,0.5784,0.4849,0.5788,0.5972,0.6180
0.6151,0.7166,0.5245,0.5892,0.6599,0.5005,0.6902,0.3905,0.4156,0.5213,0.4843,0.2731,0.4673,0.4995,0.7059,0.4222,0.4133,0.5149,0.3659,0.3575,0.2938,0.2898,0.2970
0.5795,0.6419,0.8049,0.7154,0.8686,0.6901,0.6413,0.5810,0.8570,0.6848,0.8298,0.5652,0.6293,0.5532,0.7373,0.5622,0.4937,0.7256,0.6388,0.5733,0.6294,0.6629,0.6197
0.8496,0.7068,0.5099,0.5174,0.5636,0.7880,0.8398,0.7030,0.3681,0.8587,0.3043,0.7236,0.6429,0.8453,0.7956,0.7757,0.7791,0.7342,0.5938,0.6883,0.6840,0.6457,0.7217
0.4456,0.4497,0.7205,0.4489,0.7689,0.7215,0.5291,0.7922,0.8611,0.6475,0.9006,0.7352,0.7680,0.7529,0.6537,0.7861,0.8062,0.8195,0.8474,0.8834,0.8869,0.9178,0.8556
0.8200,0.5738,0.3630,0.2773,0.5727,0.8739,0.7931,0.8065,0.5174,0.8781,0.4896,0.8132,0.8176,0.9410,0.7800,0.9353,0.9443,0.8846,0.8565,0.8838,0.8745,0.8456,0.8800
0.8245,0.4839,0.4388,0.2737,0.3627,0.8114,0.7571,0.8911,0.3997,0.8592,0.3638,0.9224,0.7764,0.9000,0.6501,0.9092,0.9134,0.7529,0.7942,0.8434,0.8859,0.8454,0.9202
0.7403,0.5224,0.3839,0.3074,0.6390,0.9206,0.7211,0.7247,0.6582,0.8688,0.6461,0.7463,0.7711,0.9249,0.8316,0.8871,0.9155,0.8629,0.8119,0.8745,0.8541,0.8503,0.8393
0.7270,0.5233,0.4555,0.3310,0.4232,0.8402,0.7589,0.8039,0.4023,0.8095,0.4039,0.8030,0.6791,0.8795,0.7356,0.8429,0.9123,0.7061,0.8097,0.8624,0.8690,0.8467,0.8559
0.3671,0.5013,0.6376,0.3873,0.7108,0.5281,0.4559,0.5532,0.7643,0.4476,0.7820,0.4698,0.7100,0.6222,0.5895,0.6342,0.6621,0.7220,0.7537,0.7625,0.7300,0.7743,0.6427
