0.5007,0.7337,0.4490,0.5541,0.4671,0.3999,0.6437,0.4339,0.5194,0.5063
0.6354,0.7941,0.7737,0.5658,0.5523,0.6405,0.5781,0.6159,0.6345,0.4501
0.6461,0.7340,0.4511,0.5308,0.5543,0.3972,0.7623,0.4027,0.4600,0.4939
0.8568,0.7610,0.8801,0.7197,0.8287,0.8993,0.7388,0.7578,0.8020,0.4622
0.7245,0.4511,0.7685,0.8927,0.8647,0.8354,0.7230,0.7733,0.8740,0.7320
0.8709,0.8167,0.7253,0.7780,0.8514,0.8120,0.7806,0.7129,0.7094,0.4216
0.8170,0.7122,0.8989,0.8065,0.8863,0.8947,0.9079,0.8440,0.8469,0.6796
0.8436,0.6503,0.8989,0.8777,0.9351,0.9377,0.8534,0.8876,0.8956,0.6107
0.6450,0.3679,0.8356,0.8756,0.8492,0.8172,0.7460,0.8112,0.8875,0.6911
0.8528,0.5738,0.7743,0.9417,0.9493,0.9427,0.7212,0.8833,0.9246,0.4710
0.8222,0.6190,0.8903,0.8781,0.9387,0.9661,0.8136,0.8737,0.9170,0.5834
0.8415,0.5751,0.7699,0.9195,0.9434,0.9018,0.8124,0.8435,0.9129,0.5429
0.6013,0.5096,0.6174,0.7490,0.6700,0.6277,0.7025,0.5461,0.7190,0.6100
