0.1610,0.1573,0.2581,0.3204,0.2628,0.3135
0.3634,0.0624,0.4362,0.5882,0.4677,0.6005
0.1963,0.1043,0.3103,0.4845,0.3177,0.5148
0.3715,0.0720,0.3944,0.4543,0.3833,0.3440
0.3230,0.0990,0.4088,0.6320,0.3780,0.5133
0.2529,0.0511,0.2854,0.4444,0.2612,0.3491
0.1792,0.0580,0.2099,0.3110,0.2242,0.3171
0.0978,0.0058,0.0995,0.1511,0.0954,0.1523
0.2521,0.0419,0.3038,0.4387,0.2900,0.4473
0.1037,0.0476,0.1292,0.2180,0.1138,0.2162
0.0704,0.0609,0.1421,0.2084,0.0831,0.1170
0.0826,0.0123,0.0948,0.0877,0.0785,0.0685
0.2413,0.0592,0.2714,0.4226,0.2476,0.3251
0.2990,0.0824,0.3014,0.3794,0.3534,0.3404
0.2387,0.0289,0.2582,0.3453,0.2354,0.3377
0.0319,0.0759,0.0785,0.1284,0.1132,0.0939
0.2890,0.0937,0.3409,0.5051,0.1670,0.3868
0.4184,0.0380,0.4052,0.5804,0.4698,0.6374
0.2065,0.1479,0.2915,0.4152,0.4108,0.5919
0.4657,0.0549,0.5035,0.7344,0.4420,0.5280
0.3149,0.0433,0.3306,0.5172,0.3035,0.5447
0.1815,0.1486,0.2384,0.4985,0.2920,0.3907
0.4175,0.0339,0.4234,0.6606,0.3644,0.5615
0.3192,-0.0038,0.3904,0.4820,0.2770,0.4594
0.2077,0.0546,0.3278,0.3733,0.2283,0.3860
0.2042,0.0984,0.2265,0.4474,0.1882,0.4251
0.2304,0.0753,0.2996,0.5063,0.2166,0.4142
0.3253,0.0462,0.3899,0.5730,0.3339,0.4916
0.3352,0.0330,0.2896,0.3648,0.3233,0.4041
0.1608,0.1094,0.2324,0.4459,0.2184,0.3431
0.3134,0.0695,0.3562,0.5644,0.3229,0.5118
