0.4072,0.4638,0.3584,0.3836,0.4592,0.4865,0.3625,0.4241,0.3909,0.4295,0.4288
0.2911,0.1526,0.1903,0.1455,0.2497,0.2139,0.2249,0.1157,0.1121,0.2045,0.1745
0.4425,0.4666,0.4593,0.5191,0.5174,0.4553,0.5816,0.5550,0.5173,0.5657,0.5630
0.3572,0.5235,0.5951,0.5607,0.5528,0.6701,0.4578,0.4012,0.4996,0.4888,0.4969
0.5704,0.8670,0.9060,0.8736,0.9315,0.7682,0.8213,0.9528,0.9506,0.9613,0.9662
0.6819,0.7437,0.4811,0.6088,0.3293,0.5556,0.6273,0.6895,0.6266,0.4709,0.4978
0.2036,0.5995,0.8234,0.7299,0.8507,0.7246,0.5781,0.6315,0.7278,0.7976,0.7890
0.5101,0.6763,0.6925,0.6825,0.8397,0.5782,0.6608,0.8090,0.7635,0.8087,0.8081
0.6477,0.7865,0.5397,0.6482,0.4345,0.5464,0.5825,0.7344,0.6891,0.5592,0.5966
0.2023,0.5535,0.8289,0.6949,0.8229,0.7386,0.6112,0.6439,0.7168,0.7910,0.7901
0.3555,0.7330,0.8624,0.8136,0.9290,0.7676,0.6458,0.7815,0.8353,0.8816,0.8804
0.7003,0.8352,0.6484,0.7220,0.6361,0.6001,0.7228,0.8637,0.8033,0.7292,0.7509
-0.0045,0.2894,0.5288,0.4113,0.6653,0.5165,0.2912,0.2976,0.3868,0.5202,0.4986
0.5865,0.5810,0.3417,0.4560,0.3294,0.4023,0.3901,0.5394,0.4721,0.3797,0.4062
0.3741,0.7578,0.9224,0.8498,0.9456,0.8023,0.7164,0.8248,0.8812,0.9255,0.9260
0.5338,0.8505,0.8683,0.8593,0.8535,0.8238,0.7028,0.8793,0.8984,0.8800,0.9008
0.5637,0.8798,0.9442,0.9179,0.9478,0.8246,0.8556,0.9586,0.9724,0.9728,0.9766
