0.0043,0.0121,0.0097,0.0009,0.0049,0.0046,0.0053,0.0051,0.0258,0.0638,0.3552,1.1509,6.4171,1.5575,9.2695,5.6963,5.7448,3.9632,3.9565,7.6649,4.3518,8.1747,2.1013,3.0336,3.0094,3.6563,4.4958,4.2247,2.6022,1.9398,0.5688,0.8008,2.5216,2.3172,1.7473,0.8376,1.4672,0.1015,0.6575,0.7914,0.6397
0.0121,0.0796,0.0722,0.0021,0.0632,0.0639,0.0465,0.0401,0.1306,0.2763,2.6747,3.9259,50.2950,16.6438,46.0103,27.2174,25.6259,16.8037,27.7544,20.0784,16.2307,27.6334,9.7076,9.0795,11.0995,12.5958,6.5567,10.6032,10.0830,4.2070,3.2362,1.8948,4.4361,7.8364,8.1727,5.1468,6.7171,0.0078,1.6674,2.0333,1.2260
0.0097,0.0722,0.0876,0.0070,0.0864,0.0846,0.0568,0.0459,0.1561,0.4821,3.0457,1.7835,54.5157,29.0206,49.3500,42.1529,27.9301,20.8114,28.8178,19.4370,19.3079,16.1844,12.4721,6.8625,10.0591,12.4940,4.8450,10.6672,10.1708,4.8323,5.6350,2.1163,1.9575,5.7670,7.3081,5.6476,5.8760,1.4699,1.2890,1.2059,0.5341
0.0009,0.0021,0.0070,0.0196,0.0153,0.0196,0.0092,0.0076,0.0713,0.2860,0.5098,1.1839,3.8849,12.0016,1.3866,10.2729,3.1680,6.4827,5.9192,8.1170,10.9918,0.7521,4.0089,2.9564,1.4045,2.5552,4.2130,5.2633,1.4329,1.5083,2.2667,1.8103,2.6266,1.1508,0.4979,2.1913,0.1666,1.4980,0.5663,0.3060,0.2532
0.0049,0.0632,0.0864,0.0153,0.1147,0.1091,0.0699,0.0547,0.1859,0.5507,3.7621,1.1260,59.2259,43.6165,42.6609,54.6020,28.2618,25.9090,34.9089,23.4871,27.5570,8.7627,15.7064,7.7908,9.2438,11.8550,3.2058,12.1946,11.3654,4.7021,7.8539,3.4002,1.9313,5.2208,5.9051,7.4866,5.6558,3.4613,1.4418,0.8522,0.3345
0.0046,0.0639,0.0846,0.0196,0.1091,0.1159,0.0693,0.0551,0.1881,0.5562,3.5393,1.6406,56.2426,41.1448,39.5304,51.4422,26.7280,22.9088,35.1912,25.8751,22.4947,8.7557,13.9855,6.9580,7.8280,8.5611,3.7853,8.2594,12.0762,4.8210,7.9792,3.7041,2.2842,5.5986,4.8136,7.1833,5.7221,3.5872,1.6180,0.9172,0.4004
0.0053,0.0465,0.0568,0.0092,0.0699,0.0693,0.0503,0.0392,0.1327,0.3834,2.2885,2.6983,39.8032,27.9850,34.9332,36.1948,22.7062,23.1067,23.0180,27.3347,24.7810,18.0943,9.0132,10.7334,11.2996,12.8965,8.7194,14.9132,10.2805,4.2663,5.9576,4.2565,5.8502,6.3267,6.5177,7.2184,5.8344,2.0420,2.3065,1.9575,1.2472
0.0051,0.0401,0.0459,0.0076,0.0547,0.0551,0.0392,0.0410,0.0992,0.4027,1.8499,3.3229,36.4553,25.2623,34.2060,37.1976,20.2740,28.9459,22.3897,27.0158,31.2767,23.9956,8.7476,14.8433,14.3890,17.7138,13.4318,20.1396,9.2742,3.8329,5.3913,5.2264,8.5998,7.0023,6.9251,7.6005,6.2483,1.7908,2.8738,2.6643,1.8211
0.0258,0.1306,0.1561,0.0713,0.1859,0.1881,0.1327,0.0992,0.6847,1.5535,6.6707,5.4944,94.8001,72.6914,104.1559,79.8490,76.0156,50.5882,73.7391,103.4539,58.6185,48.7090,29.3822,26.0721,31.3685,29.6426,35.2928,38.1349,33.0232,16.0793,19.2217,12.4292,18.2777,15.5966,20.1985,21.3802,15.7452,6.8202,6.8265,5.5431,3.9566
0.0638,0.2763,0.4821,0.2860,0.5507,0.5562,0.3834,0.4027,1.5535,13.0905,26.0303,77.4716,312.5257,230.1525,347.4997,266.5466,223.0738,288.4374,249.1309,458.3334,416.5402,325.3201,161.0664,198.2282,168.2841,184.8932,239.4790,259.4820,123.4799,85.2231,80.7647,83.6311,142.9740,113.2219,60.9898,85.2593,71.2594,36.1655,41.7199,37.9617,27.7192
0.3552,2.6747,3.0457,0.5098,3.7621,3.5393,2.2885,1.8499,6.6707,26.0303,181.5194,153.5116,2169.6767,1657.4028,1662.2251,2125.4122,1064.0570,1132.7594,1281.0839,1265.2336,1332.0260,788.3828,620.9411,441.2022,387.7943,677.1533,501.0089,706.5480,532.1448,333.4284,257.9633,152.8955,304.0581,382.2047,258.2925,259.5359,261.3562,132.3649,96.7728,80.8641,72.2021
