0.0269,0.0440,0.2104,0.2640,2.1748,7.4820,37.1370,15.0896,42.2522,18.9661,8.1544,9.3202,13.9412,23.7469,1.2411,24.0027,11.0038,9.3808,8.9376,10.9036,10.1158,8.5618,0.7464,2.7152,0.7305,0.5461,3.0196
0.0505,0.1016,0.5113,1.9826,6.4914,82.7632,65.0388,147.0103,96.1240,86.1498,28.4603,63.8296,91.2019,69.7593,74.5691,52.8264,40.8606,45.3139,27.0058,33.6946,29.3687,38.5495,18.1236,17.9053,13.5453,7.6519,8.5130
0.0223,0.1306,0.3515,2.0613,3.7932,109.0160,48.5803,141.8019,68.6941,86.1014,30.9417,93.0365,71.9267,110.4636,81.2450,55.4990,42.9296,66.0759,31.8989,47.2173,45.7916,57.8390,39.6220,23.9230,11.5668,17.0172,12.9534
0.0539,0.2417,0.8358,2.9073,10.9837,221.5854,180.4045,296.1387,198.7155,132.8204,67.4516,80.9759,151.2161,120.0521,81.5778,59.5239,59.0657,92.5793,37.8046,51.0634,31.8359,54.9219,44.0155,25.4706,21.4028,14.6596,7.2263
0.0499,0.2411,1.1567,2.5632,11.7059,195.6019,266.9384,264.3897,221.1816,198.1466,72.4738,150.3684,211.2906,175.4038,143.8379,123.4841,85.2149,103.8259,64.4151,88.5211,61.5810,75.9691,44.4064,17.4371,31.3196,18.2982,16.1167
0.0758,0.0480,0.7458,3.1084,8.9389,97.1317,173.2305,176.9735,172.3523,100.5970,43.4332,75.7513,104.3776,142.0441,67.1319,93.3491,53.8564,68.0506,37.5279,47.8517,56.2531,60.5771,32.6287,20.2084,9.9705,12.4723,16.2091
0.3983,1.4984,7.4045,16.4371,86.9206,823.8454,1578.1354,1393.8266,1200.6952,883.5005,397.3252,790.4590,1339.6459,893.6951,978.8479,653.6633,516.8741,573.6030,409.3349,580.5666,322.5817,579.8841,275.5283,220.9072,192.8266,92.6220,101.3565
0.9972,3.0023,14.3738,40.0663,153.2653,2085.0622,2705.1733,3278.8434,2665.2067,1577.8980,1045.8635,1489.5596,2456.4954,2158.7228,1249.1344,1696.7414,1136.5210,1505.5928,846.0598,1072.7201,975.6747,1099.5815,482.4527,368.9541,382.7733,275.9789,254.3859
3.6890,4.1152,34.8272,115.4645,439.6227,7152.3761,6772.4633,10516.1051,6516.0805,4293.6227,1985.7636,2906.7653,5293.2151,5742.3726,2827.9258,3598.5822,2667.9285,3814.5474,1463.6540,1646.5455,2146.1698,1991.3182,1407.5726,925.7315,552.1719,579.9026,518.9249
5.8573,15.9748,76.4415,350.2285,730.4399,18043.3770,21151.4505,20898.0080,17797.2978,18362.9676,6850.3087,13086.4175,13039.9654,20632.7344,10926.5331,9775.7424,6957.5342,8876.6505,6470.3071,8501.0779,7804.0819,7630.1567,7010.3016,3582.2940,2125.3557,2376.5437,2132.5344
16.4693,42.8427,164.8878,340.9850,1788.1048,17175.6574,53191.5105,24889.3074,34825.6242,43218.8289,14478.5122,35567.4661,32050.8129,38353.3822,30195.0077,26943.7495,13145.8579,18449.1301,19275.4901,26727.6932,15878.7742,25001.3705,8928.2632,5540.7408,6782.2141,3969.5779,5167.8443
16.4020,82.4991,205.1370,558.4519,2230.8452,28157.7416,80354.0350,48708.5602,48093.2925,53555.6023,25015.7489,41293.3764,44428.7929,60578.3840,38319.2538,36386.2705,19235.7654,26050.7193,26148.3105,33589.5427,24141.2138,31535.0726,17774.5141,8475.0861,9650.0364,6578.7006,6889.8929
47.0427,42.5469,146.7955,319.3349,3350.9556,11205.5963,45209.9913,30897.8522,40091.2976,87623.5554,20926.9215,88434.5043,41431.8693,98899.2616,80796.8553,71548.2192,32770.3331,47795.7341,47387.1834,67630.6753,52800.2994,70021.5153,19621.4772,22278.4736,7756.8295,11608.4927,17054.0408
2.0100,52.0872,74.2052,234.0595,1155.6182,11742.2214,29574.2194,21054.8661,16622.7334,29683.3408,7323.5085,28470.2091,25388.5548,18888.3598,32175.8477,13549.3278,8005.6045,11321.0855,11619.5107,17444.4421,10515.3966,18036.6667,6378.4346,6442.1198,4915.8253,3365.6759,3602.3335
3.9424,72.3711,93.3360,359.3587,715.7395,18908.4118,30825.3953,37287.7569,14462.8648,20782.1353,14679.5066,24311.4489,25172.7103,37881.0493,34843.1902,18337.2468,7840.5336,19230.1075,15265.7608,17792.6300,17319.0609,19771.3695,13594.5873,8942.1231,6006.5778,5993.8966,4964.1661
45.8486,25.8226,100.7243,324.6106,2828.1194,14234.2709,26777.5353,31645.1311,28329.3041,78673.3566,20134.5841,80886.7535,31849.4364,91500.5694,74161.0582,65031.4033,29132.6496,42429.7879,41983.2460,60206.5556,49407.2884,63210.8956,19277.3652,21532.5096,5787.3914,10613.6302,15933.6942
21.0174,82.4716,49.7551,367.4004,1649.1250,15568.6862,25416.6446,33002.4480,17426.1630,66642.3078,17583.0486,71244.8990,33408.3848,79102.3773,74010.7768,48352.5784,22500.0716,38541.3359,35570.7842,49089.7145,40970.4090,53305.6281,20280.1141,18103.3053,7765.4728,11415.8774,12871.7964
31.1185,0.7150,89.2551,200.3158,1570.0077,8634.9316,17465.5256,20219.4756,16715.9569,45163.5489,14199.0334,46496.3262,14342.4763,56303.5112,40682.7258,40398.6779,17240.2037,25309.1080,25184.7068,35719.7985,30133.9301,37344.2432,11595.3680,12846.6089,2548.4399,6033.3249,9680.4793
7.7279,36.0014,16.0744,175.2613,610.0542,7511.2484,12097.7079,11459.9512,9024.4981,26593.2664,7300.4035,27848.5482,13982.5589,31416.3729,29855.5558,18472.1422,8685.0049,14862.5436,14126.9610,19425.9995,16012.8887,21143.1202,8444.6806,7201.0070,3185.5354,4577.5562,5022.6091
