101.1376,640.7489,1083.7947,711.2921,470.7923,866.3694,341.4123,520.4952,668.2316,124.9554
409.6209,2391.5701,2677.6787,2231.0740,1007.9359,1631.9621,250.6147,1419.0652,1564.7210,77.6615
2064.0092,18739.2264,18632.8928,15727.5884,8270.0505,11062.8033,9869.6891,6369.7970,9323.3755,3896.9513
3885.5140,20216.6018,55140.6363,41748.2230,24313.5191,43540.0683,14908.2637,30434.1547,37833.1034,7081.1285
2362.1423,14394.3667,41608.5936,34659.9669,16527.3222,31268.2658,6996.3523,20136.8750,31029.8770,5601.0566
2165.7841,15667.3985,27436.1513,20363.6862,12775.3166,20676.0919,10777.3488,14337.2850,16698.8794,5291.7868
4183.7473,16983.3061,59666.7874,57653.1269,31278.7955,54614.2266,15168.2594,33473.3938,50818.0349,6971.0339
3226.2242,14793.6753,43116.6742,44792.7899,23443.3670,39690.3882,11910.1352,25276.4275,37994.4115,6464.2304
3155.1430,15356.4566,46124.9612,40249.9358,22185.7275,37889.7126,13667.6243,24318.0155,34862.1362,7920.2485
1108.1408,6320.9052,21667.4558,19416.8871,9102.6485,15620.6634,5210.0360,9896.7409,16540.5561,4422.5455
2796.4785,16602.2778,24154.1328,27119.7712,16717.7891,28384.2209,8464.8610,17147.1589,22916.7199,718.7313
1877.3060,9112.8933,25146.1174,26960.6087,13243.6964,18347.1030,10396.9760,12986.3552,21109.1908,6947.9310
565.0650,3590.9729,10387.6838,8590.6068,4524.4899,8911.3400,1552.3547,6412.4128,7881.3510,815.9219
697.6180,5242.8500,5127.1516,6374.0358,3633.0766,5736.2497,2347.3757,2959.6309,4717.4044,332.9261
1094.6548,4707.6961,16191.9050,14558.6756,7995.6150,13684.8439,4776.5786,8964.6507,12683.4041,2614.7859
1401.8158,6503.6686,18935.7515,17378.2512,9745.3928,16673.7108,5848.5686,10826.7187,15064.8303,2915.9476
