818.0010,818.0023,817.9980,817.9940,818.0022,818.0008,818.0014,817.9997,818.0011,818.0008,817.9974,817.9965,817.9898,818.0222,817.9714,818.1956,817.6318,818.3718,817.6740,818.1824,817.1618,818.8929,818.2676,817.9945,817.8510,818.3143,817.4237,818.3566,817.8607,817.8521,817.7922,818.6192,817.7125,818.0794,817.7488,818.1951,817.6155,818.9320,817.4676,817.9708,817.9051,817.8597,818.0487,818.0646
818.0023,818.0051,817.9955,817.9864,818.0049,818.0017,818.0032,817.9992,818.0025,818.0018,817.9942,817.9921,817.9772,818.0503,817.9353,818.4436,817.2275,818.9157,817.2852,818.5313,816.1709,820.1418,818.6853,818.0655,817.6671,818.7266,816.7642,818.8144,817.6994,817.6715,817.5569,819.4140,817.3751,818.1855,817.4401,818.4731,817.1623,820.1552,816.8275,817.9355,817.7864,817.6864,818.1132,818.1473
817.9980,817.9955,818.0039,818.0119,817.9958,817.9985,817.9972,818.0007,817.9978,817.9985,818.0051,818.0069,818.0202,817.9564,818.0568,817.6161,818.7704,817.3193,818.6695,817.7132,819.7321,816.3588,817.5620,818.0910,818.2979,817.3959,819.2088,817.3044,818.2914,818.2984,818.4358,816.7912,818.5935,817.8495,818.5056,817.6513,818.7953,816.2143,819.0865,818.0590,818.1883,818.2810,817.9075,817.8739
817.9940,817.9864,818.0119,818.0362,817.9872,817.9955,817.9914,818.0021,817.9933,817.9954,818.0154,818.0213,818.0634,817.8687,818.1728,816.8346,820.6829,816.3407,820.0413,818.0008,823.1333,813.0585,816.5057,818.2460,818.9147,816.1653,821.6416,815.8860,818.8600,818.9007,819.3579,814.3466,819.8079,817.5394,819.5225,816.8716,820.3562,812.4959,821.2591,818.1811,818.5720,818.8486,817.7120,817.6140
818.0022,818.0049,817.9958,817.9872,818.0050,818.0017,818.0031,817.9994,818.0025,818.0017,817.9946,817.9928,817.9817,818.0507,817.9391,818.4349,817.9391,819.7013,817.4027,820.1541,816.2313,820.4639,818.6532,818.2475,817.7058,818.7443,816.9562,818.8028,817.7167,817.6928,817.7032,819.4179,817.4801,818.1910,817.4662,818.4476,817.1969,820.0719,816.8980,817.9455,817.7972,817.7014,818.1079,818.1407
818.0008,818.0017,817.9985,817.9955,818.0017,818.0006,818.0011,817.9998,818.0009,818.0006,817.9981,817.9974,817.9929,818.0172,817.9786,818.1504,817.8457,818.4331,817.7860,818.4093,817.4350,818.8403,818.2882,818.0953,817.8938,818.2590,817.6479,818.2801,817.9106,817.8951,817.8827,818.4880,817.8166,818.0677,817.8190,818.1816,817.7432,818.7551,817.6327,817.9802,817.9294,817.8979,818.0402,818.0502
818.0014,818.0032,817.9972,817.9914,818.0031,818.0011,818.0021,817.9995,818.0016,818.0011,817.9963,817.9950,817.9854,818.0319,817.9590,818.2822,817.4854,818.5505,817.5389,818.2940,816.8036,819.2985,818.3924,818.0020,817.7868,818.4534,817.1810,818.5132,817.8016,817.7885,817.7060,818.8912,817.5908,818.1148,817.6404,818.2834,817.4513,819.3431,817.2394,817.9584,817.8639,817.7990,818.0702,818.0928
817.9997,817.9992,818.0007,818.0021,817.9994,817.9998,817.9995,818.0002,817.9996,817.9998,818.0009,818.0013,818.0046,817.9934,818.0101,817.9374,818.3655,818.1665,818.1515,818.5019,818.3237,817.8992,817.9617,818.1084,818.0606,817.9181,818.2819,817.8908,818.0584,818.0563,818.1260,817.8172,818.1376,817.9809,818.0915,817.9534,818.1515,817.7168,818.2079,818.0130,818.0334,818.0506,817.9854,817.9788
818.0011,818.0025,817.9978,817.9933,818.0025,818.0009,818.0016,817.9996,818.0013,818.0009,817.9972,817.9961,817.9893,818.0254,817.9682,818.2221,817.7391,818.6026,817.6698,818.5466,817.1226,819.1747,818.3775,818.0951,817.8404,818.3741,817.4387,818.4102,817.8587,817.8411,817.8107,818.7152,817.7132,818.0966,817.7269,818.2490,817.6001,819.0903,817.4369,817.9698,817.8949,817.8466,818.0575,818.0735
818.0008,818.0018,817.9985,817.9954,818.0017,818.0006,818.0011,817.9998,818.0009,818.0006,817.9980,817.9974,817.9928,818.0176,817.9781,818.1538,817.8438,818.4446,817.7680,818.4507,817.3583,818.7812,818.2183,818.0399,817.8897,818.2540,817.5887,818.2810,817.8952,817.8878,817.8657,818.4921,817.7952,818.0647,817.8073,818.1547,817.7071,818.7291,817.5965,817.9789,817.9271,817.8923,818.0380,818.0501
817.9974,817.9942,818.0051,818.0154,817.9946,817.9981,817.9963,818.0009,817.9972,817.9980,818.0066,818.0091,818.0271,817.9443,818.0741,817.5075,819.1621,817.3218,818.8816,818.0583,820.1862,815.9137,817.3712,818.1160,818.3900,817.2216,819.5566,817.1014,818.3674,818.3839,818.5831,816.4464,818.7729,817.8049,818.6485,817.5227,819.0045,815.6581,819.3885,818.0775,818.2434,818.3613,817.8778,817.8359
817.9965,817.9921,818.0069,818.0213,817.9928,817.9974,817.9950,818.0013,817.9961,817.9974,818.0091,818.0129,818.0405,817.9264,818.1047,817.3461,820.2380,817.8541,819.3542,819.6173,821.1294,815.6981,817.3043,818.4616,818.5621,817.0038,820.3812,816.8024,818.5388,818.5452,818.9537,815.9467,819.1729,817.7552,818.9092,817.4092,819.4443,814.8933,819.9872,818.1151,818.3371,818.5044,817.8387,817.7774
817.9898,817.9772,818.0202,818.0634,817.9817,817.9929,817.9854,818.0046,817.9893,817.9928,818.0271,818.0405,818.1454,817.8091,818.3134,816.2340,830.3047,824.5635,822.9872,836.3615,828.0289,816.1263,817.2630,821.8794,819.8639,815.7341,826.9711,814.8411,819.8319,819.7248,822.0956,812.7552,822.3735,817.4850,820.7833,816.7840,822.6819,809.8533,824.4051,818.4096,818.9999,819.5267,817.5828,817.3762
818.0222,818.0503,817.9564,817.8687,818.0507,818.0172,818.0319,817.9934,818.0254,818.0176,817.9443,817.9264,817.8091,818.5281,817.4105,822.6877,818.7313,838.2352,815.1344,839.6745,812.1025,860.6532,839.6440,832.2863,815.3889,827.9028,817.4986,827.3769,817.6705,815.8393,818.0320,834.1729,816.1051,820.8864,814.0062,828.6274,815.6650,848.1652,812.2501,817.6077,816.0725,815.5917,819.6882,819.6737
817.9714,817.9353,818.0568,818.1728,817.9391,817.9786,817.9590,818.0101,817.9682,817.9781,818.0741,818.1047,818.3134,817.4105,818.9806,813.3014,835.1789,816.1981,834.8687,822.6239,863.8256,820.9363,834.8117,838.5096,823.1056,813.0393,852.9373,809.7732,826.4145,823.9523,829.9127,803.2680,832.7526,817.3327,827.7602,822.3846,839.1007,805.2846,842.9246,819.1603,820.9834,823.1329,817.5798,816.5341
818.1956,818.4436,817.6161,816.8346,818.4349,818.1504,818.2822,817.9374,818.2221,818.1538,817.5075,817.3461,816.2340,822.6877,813.3014,869.0710,819.0384,990.3615,832.1072,977.9861,802.7427,1300.3454,1080.6030,974.5783,796.7976,917.5544,831.9261,909.5622,824.2619,803.5686,826.7575,977.1177,810.8502,847.0615,790.7270,940.3101,816.7379,1161.5502,786.8119,815.7973,801.6368,799.2011,835.1316,833.6796
817.6318,817.2275,818.7704,820.6829,817.9391,817.8457,817.4854,818.3655,817.7391,817.8438,819.1621,820.2380,830.3047,818.7313,835.1789,819.0384,30342.5505,5481.4558,5816.7206,20409.3840,40167.3881,34309.6341,29281.6344,22286.6894,1246.1182,2449.2173,25416.9536,1149.1903,2741.4256,1372.2234,4792.5881,1577.2640,7120.1803,1212.4524,1966.8391,5756.7490,6330.5981,5163.8302,6111.2852,943.8796,923.4840,1178.0146,1079.0199,894.9280
818.3718,818.9157,817.3193,816.3407,819.7013,818.4331,818.5505,818.1665,818.6026,818.4446,817.3218,817.8541,824.5635,838.2352,816.1981,990.3615,5481.4558,75507.1021,2577.8598,25917.8944,30364.0382,1313374.4834,134385.9117,146335.0882,1026.1658,2878.3244,61527.1143,2323.1306,2907.6488,1540.7548,6848.4357,2755.4038,3384.6060,1629.6566,1607.3486,10270.4979,9130.4831,43377.2864,8418.6314,924.8478,879.2040,1191.9894,1203.8756,984.6837
