1199.7623,1195.7113,1214.7377,1156.6759,1237.7900,1409.3437,1268.4694,1289.9088,1352.6805,1087.1920,1367.5436,1150.5841,1263.5491,1423.9649,1217.5467,1319.7053,1266.8778,1219.4575,1212.4136,1135.6567
1246.6548,1205.8150,1859.7336,6075.4510,368252.0473,40179397.1393,872669544.3982,4441193.2761,1117119.4055,7880.6885,8991774.8497,38196.5109,132893857.5749,241607053.5110,289017.0580,3159553.5730,111502.4251,3146.6541,11639.0180,4079.9610
1262.1333,1267.9328,1668.4811,11191.9830,272102.3482,68956796.9237,10065084614.1914,6053430.4306,644124.8855,59621.1180,12139209.3021,208983.2095,921587093.8596,328209510.0364,733231.2947,4024295.8431,132120.0788,3085.8838,15721.2311,14576.0351
1255.3507,1253.3615,1914.9603,12925.0909,711182.4427,25075417.2661,4461631795.9786,5515208.4147,1003762.0954,21336.4141,6981830.8507,69704.0660,390078508.4048,255131572.5537,562614.4557,3072973.6706,110330.1472,3020.8603,13303.4841,6904.5763
1224.6136,1245.3938,1253.2547,2942.4375,16088.3474,2556083.5580,3373397.6907,25132.7604,14125.3546,12324.0708,357382.5315,43397.0004,1173595.7223,964604.3574,42995.1663,69638.2098,14966.0411,1777.7549,3764.5890,6126.5357
1208.5903,1216.0206,1327.1476,1989.6471,9406.1998,22822.8738,107050.9514,15665.1510,6034.3613,2322.1378,9722.9885,3093.5143,42295.0544,30642.7831,5369.2586,8179.5867,3262.2600,1395.1284,1844.9653,1735.2589
1203.5925,1204.0984,1246.6293,1399.3271,3213.0946,7183.9553,13009.1283,3526.2722,2597.6092,1559.9866,5109.4742,2184.2049,8535.4967,9382.9062,2353.8364,3787.0629,2016.1311,1296.8741,1477.5621,1444.2323
1208.3187,1198.1383,1281.9235,1486.2589,5547.2003,64826.9505,115299.8644,9943.7040,7640.8524,2126.4990,31776.6103,4662.7270,62062.6039,86594.1886,6059.6914,15674.2389,4600.3983,1493.5388,2104.4840,1836.0477
1223.8377,1209.3295,1377.8249,2514.8112,23114.8801,1393412.5537,10186098.7086,114662.5104,52465.7006,6086.4703,455797.5923,19549.0570,2816385.1001,3127497.9677,39302.5007,165179.9728,18890.1959,1979.6674,4532.7029,3596.3559
1213.9447,1218.3192,1242.7576,1934.0415,6831.2289,233178.1095,520835.9645,14371.6613,9148.0011,4611.1058,72344.3172,10743.7232,227223.3216,213709.4906,12446.5180,26987.4969,6779.2183,1553.7219,2616.5924,2957.4149
1207.2538,1208.8281,1221.6835,1568.1095,3102.9109,36907.7226,69604.1777,6302.8044,4475.9749,2599.1213,16630.4513,4301.0709,38265.2632,36429.1414,5222.1631,8689.5105,3480.0372,1382.0302,1880.6164,1961.6952
