917.0001,916.9991,916.9749,917.1350,916.9441,917.3720,915.4559,918.7046,916.3178,916.4845,916.8738,917.5182,917.2464,917.3506,916.7788,916.5910,917.3305,917.0462,917.0225,917.0340,917.0897,917.1543,917.0659,916.8939,916.9107,916.9227,916.9541,917.0586,917.0123,916.9704,917.0212,917.0809
916.9994,917.0037,917.1057,916.4359,917.2870,915.4619,923.8495,910.1088,920.1397,919.3881,917.7108,914.9275,916.0090,915.5301,917.9387,918.7743,915.6425,916.8153,916.9179,916.8704,916.6313,916.3535,916.7272,917.4517,917.3799,917.3302,917.2017,916.7593,916.9522,917.1298,916.9165,916.6622
916.9999,917.0004,917.0121,916.9734,917.3174,917.0575,920.8108,920.4946,921.3749,921.1279,920.1403,918.7165,917.7516,916.9621,917.1950,918.0301,917.4820,917.1642,917.2202,917.2429,917.1278,916.9967,917.0639,917.1263,917.0944,917.1091,917.1660,917.0921,917.0700,917.1035,917.0957,917.0209
916.9960,917.0253,917.7255,913.4877,922.2012,908.2667,987.0596,893.9925,962.1738,954.5615,939.2322,913.6501,914.9079,907.6906,923.9238,933.9555,911.2294,916.7485,917.6933,917.5179,915.4083,912.9755,915.6525,920.5058,919.8856,919.6616,919.1729,916.0102,917.0861,918.3776,917.0120,915.0145
917.0008,916.9953,916.8763,918.4898,920.0344,926.5653,1019.6683,1147.6113,1116.2379,1120.4220,1074.5683,1020.3351,962.8109,925.2053,920.3729,957.4974,951.4423,926.7017,928.7760,930.4356,926.1260,921.2487,922.1866,920.3265,919.0999,920.2424,924.0761,923.3875,920.9077,921.4052,922.4438,920.4157
917.0069,916.9563,915.7551,923.7571,914.2508,935.9074,846.3532,1013.1254,889.7201,898.1925,915.9953,946.5697,930.8588,934.8193,906.2138,898.2763,934.7040,919.6234,918.5152,919.1461,921.7655,924.8236,920.4491,911.8706,912.6546,913.2864,914.9671,920.1282,917.7444,915.6831,918.2360,921.1332
916.9931,917.0436,918.2473,910.5354,921.2721,900.3862,1022.0192,872.4916,989.9676,981.4604,953.2233,910.0795,913.1199,900.9409,928.9330,945.8634,906.8190,916.5024,918.1020,917.8185,914.1954,910.0222,914.6485,923.0281,921.9437,921.5481,920.6810,915.2464,917.1191,919.3423,916.9650,913.5588
917.0010,916.9935,916.8165,918.1581,917.8038,920.9498,922.5242,957.7238,937.7229,938.3510,935.7195,933.4815,924.4539,920.4122,915.9465,919.4218,923.6031,918.5486,918.6561,918.9397,918.7685,918.5855,918.1052,916.7122,916.6720,916.8991,917.5987,918.2111,917.5829,917.3644,917.8414,917.9803
917.0060,916.9624,915.9268,922.8153,914.4533,933.3106,856.2622,1002.1606,895.7712,903.3663,918.0999,943.7879,929.5361,932.4253,907.7558,901.3988,932.6889,919.3897,918.4641,919.0305,921.2244,923.7858,920.0384,912.6295,913.2868,913.8466,915.3460,919.7785,917.6938,915.9266,918.1372,920.6024
916.9956,917.0274,917.7829,912.8664,919.2198,906.0209,974.4367,877.4216,950.7568,945.5415,930.6254,906.9919,912.0451,906.5141,924.2153,932.5199,908.7292,916.1421,917.0183,916.7526,914.7384,912.4097,915.2432,920.5579,919.9533,919.6428,918.8869,915.5468,916.8527,918.2070,916.6687,914.6639
916.9968,917.0202,917.5791,914.1905,920.1645,910.8188,987.1081,934.7034,988.1343,984.0509,962.5633,932.1188,923.3722,910.7048,923.3577,938.3368,918.3035,918.5316,919.6859,919.8450,917.3119,914.4061,916.8117,920.5127,919.7679,919.7881,920.0728,917.3216,917.7728,918.9363,917.9818,915.9623
917.0062,916.9608,915.8844,923.1245,914.7822,934.6392,862.6991,1023.8251,909.9952,918.1228,930.2978,952.8442,933.5786,933.5637,907.7418,904.0577,935.9299,920.2348,919.4446,920.1601,922.0812,924.3342,920.5447,912.7602,913.3416,914.0085,915.8572,920.3724,918.0260,916.2439,918.6055,920.9851
916.9959,917.0255,917.7296,913.1537,919.3848,906.6382,968.5652,874.1712,942.6152,937.0139,924.6515,904.4939,910.9362,907.0200,923.5722,930.0637,908.2322,915.8891,916.6347,916.3327,914.6082,912.6113,915.2033,920.1865,919.6689,919.3443,918.5190,915.4462,916.7364,917.9745,916.5175,914.7243
917.0032,916.9799,916.4272,920.0902,915.6729,925.5440,882.4385,957.4255,902.0655,905.9007,914.5869,929.2396,922.7928,925.0723,911.9673,907.8225,924.6930,918.0876,917.5515,917.8215,919.0807,920.5467,918.5242,914.5891,914.9669,915.2449,915.9736,918.3615,917.2944,916.3373,917.5018,918.8611
916.9977,917.0145,917.4162,914.8521,918.4091,911.6192,953.7938,907.9600,946.6041,944.1587,933.6398,917.6379,917.0398,911.8002,921.1029,927.8172,914.5667,917.1200,917.7195,917.6742,916.3244,914.7685,916.3611,919.1253,918.7244,918.6253,918.4478,916.5981,917.1560,917.9191,917.1491,915.9407
917.0009,916.9944,916.8408,917.9532,917.0966,920.1991,918.3786,949.6560,932.4889,934.0409,932.2120,930.6251,923.1628,919.9040,916.0587,918.7935,922.4994,918.2784,918.3553,918.5924,918.4727,918.3453,917.9244,916.7261,916.6970,916.8856,917.4670,918.0072,917.4786,917.2851,917.6905,917.8282
916.9998,917.0011,917.0335,916.9457,917.5402,917.7123,935.7851,947.2164,948.1086,948.9470,941.6898,931.9586,923.6758,917.5533,918.0055,924.2350,921.7154,918.4382,918.8161,919.0520,918.2540,917.3453,917.6817,917.7529,917.5230,917.6772,918.2170,917.8872,917.5931,917.7610,917.8170,917.3699
