930.9962,931.0207,930.9884,931.0264,930.9713,931.0055,930.9924,931.0015,930.9661,931.0303,931.0086,931.0000,930.9890
931.0104,930.9425,931.0322,930.9267,931.0798,930.9848,931.0212,930.9958,931.0944,930.9160,930.9764,931.0000,931.0305
930.9934,931.0388,930.9796,931.0474,930.9493,931.0097,930.9866,931.0027,930.9401,931.0539,931.0154,931.0002,930.9806
931.0836,930.6217,931.2582,930.4711,931.6499,930.8844,931.1801,930.9743,931.7866,930.4289,930.8793,931.0520,931.2425
931.5842,930.2401,932.7863,928.4143,935.6085,930.3071,932.4343,930.9510,936.8094,928.6208,931.2859,932.1456,932.6279
929.7384,946.5024,927.0746,946.2100,922.6967,933.4372,929.6202,932.3838,923.1864,953.0374,941.6130,936.9711,927.1147
932.0562,1013.9959,934.0981,1032.6065,983.1125,937.6496,960.2245,948.6742,1042.0522,1182.2447,1106.1055,1071.2801,934.7355
929.2170,997.2837,925.3469,1012.6806,946.3754,938.8938,944.7133,943.5340,980.3116,1117.4650,1047.3194,1021.7134,926.3178
936.3607,905.6585,947.6310,897.8196,974.1467,923.5706,942.8222,929.4587,983.8697,896.6828,924.5325,935.3869,946.7326
928.8269,946.1300,924.2982,949.7226,915.7109,934.4282,927.3838,932.4149,914.3068,956.0887,940.9878,934.9765,924.6620
933.0763,921.7443,937.4117,918.3109,947.5065,928.1497,935.6109,930.4377,951.2157,918.0017,928.7611,932.9072,937.0461
929.2607,947.1117,925.6141,949.8469,919.9726,934.0626,928.9836,932.7353,920.5199,959.2682,944.6101,938.5582,925.8888
930.4709,939.0567,929.3516,940.6969,929.3603,932.2391,931.4201,932.2250,931.6745,949.1641,941.6372,938.5685,929.4781
931.7347,935.6960,933.2476,936.5788,941.2066,930.7577,935.2631,932.5606,948.0413,950.3461,946.7556,944.9627,933.2338
931.5294,931.6769,932.6219,931.1118,936.4844,930.5370,933.0090,931.4184,939.1331,935.1970,935.6820,935.6323,932.5446
930.0598,936.4829,928.1000,937.9216,923.9396,932.3912,929.1610,931.4259,922.7799,939.2453,933.5729,931.3488,928.2545
930.2297,943.6450,928.6050,946.9011,929.5729,932.9139,932.1248,933.1174,934.1064,962.1299,949.7494,944.6139,928.8462
931.2824,943.4066,931.8376,946.2238,940.4188,931.9081,935.9849,933.8456,950.0062,969.3369,958.2378,953.3290,931.9581
931.3979,938.7210,932.2055,940.6542,939.4682,931.3718,935.0475,933.0120,946.8521,957.5309,950.4833,947.3991,932.2825
931.2576,938.6889,931.7726,940.3125,937.6960,931.4746,934.3881,932.8175,944.0823,955.1014,948.4578,945.4201,931.8457
931.5471,931.6047,932.6808,931.6788,937.1727,930.5526,933.2911,931.5722,940.4292,937.3921,937.1522,936.9644,932.6426
931.1679,931.2615,931.5152,931.2886,932.9179,930.8692,931.7214,931.1883,933.9483,933.1356,933.0057,932.9224,931.5034
930.9761,932.4897,930.9229,932.8577,931.5464,931.1640,931.3896,931.3039,932.4301,935.2046,933.8052,933.2119,930.9456
931.2028,930.5803,931.6229,930.2514,932.7790,930.7620,931.5694,931.0264,933.3736,930.8143,931.5333,931.7814,931.5871
931.1571,930.6744,931.4827,930.4597,932.4095,930.8174,931.4551,931.0295,932.9070,930.9823,931.5015,931.6785,931.4579
931.0416,930.8542,931.1281,930.8110,931.3621,930.9476,931.1110,931.0012,931.4758,930.9097,931.0728,931.1344,931.1223
931.0825,930.5831,931.2543,930.4463,931.6345,930.8827,931.1720,930.9702,931.7574,930.3790,930.8425,931.0214,931.2399
931.1713,930.1172,931.5286,929.8675,932.3387,930.7567,931.3655,930.9430,932.6139,929.7830,930.7223,931.0878,931.5009
930.8869,931.7576,930.6507,931.9538,930.2023,931.1767,930.8110,931.0729,930.1295,932.2836,931.5115,931.2051,930.6707
931.1272,930.5491,931.3919,930.4044,932.0973,930.8383,931.3344,931.0001,932.4333,930.6717,931.1891,931.3822,931.3736
930.8957,932.0318,930.6769,932.3028,930.4495,931.1952,930.9361,931.1414,930.6140,933.1974,932.1648,931.7480,930.7005
