1042.9917,1042.9901,1043.0551,1042.9132,1043.0826,1043.0551,1042.5889,1043.6429,1042.5764,1043.2449,1042.7953,1042.8218,1043.0075,1043.1829,1042.8898,1043.3264,1042.7685,1043.3007,1043.1547,1042.5467,1043.0361,1043.0495,1043.0730
1042.9706,1042.9661,1043.2571,1042.8386,1043.5500,1043.2430,1041.6276,1045.4882,1041.7532,1044.2588,1042.4220,1042.4362,1043.4285,1043.9848,1042.8983,1044.3602,1042.1871,1044.1412,1043.6469,1041.3827,1043.2281,1043.2083,1043.3339
1042.8966,1042.8853,1044.0130,1042.6764,1045.3287,1043.9152,1038.2502,1051.9848,1038.7798,1047.8918,1040.9032,1041.0631,1044.1292,1045.9986,1042.1857,1047.6266,1040.0863,1046.9986,1045.1684,1037.2700,1043.6590,1043.6947,1044.0867
1042.9475,1043.0316,1046.0403,1051.5668,1056.4014,1046.3577,1047.8369,1057.1232,1056.7421,1063.1158,1051.3682,1045.9727,1069.9931,1066.6934,1061.6895,1058.0977,1042.3542,1049.3002,1050.2638,1039.8159,1049.8710,1045.4427,1048.3890
1043.0701,1043.1461,1046.9816,1053.1419,1060.7053,1045.7301,1051.4175,1052.5604,1063.3872,1069.8781,1054.8364,1049.1491,1069.7709,1065.1096,1064.4886,1054.1172,1045.4739,1045.7500,1048.7251,1045.9834,1049.7056,1044.9083,1047.6208
1043.3592,1043.4279,1041.2579,1048.6511,1042.5113,1041.3719,1062.5898,1018.7227,1066.4828,1038.0301,1055.8279,1052.0762,1054.6596,1045.9931,1057.5569,1034.6652,1053.6513,1031.8927,1039.2989,1062.9214,1044.7033,1041.8749,1042.1668
1043.3191,1043.3653,1044.2992,1057.8547,1057.9436,1045.6654,1071.5014,1038.9689,1092.6036,1067.0123,1078.4885,1058.6682,1130.8170,1116.6366,1120.2209,1072.0942,1056.4843,1044.3215,1058.6419,1061.9088,1065.6311,1048.4599,1057.1005
1042.4611,1042.3665,1046.7814,1038.1900,1049.5469,1046.9175,1017.4075,1086.5004,1017.3223,1060.5889,1030.7384,1031.8911,1046.1559,1057.3807,1038.0073,1065.7440,1028.1864,1063.1395,1053.7758,1013.9702,1046.0729,1046.4451,1048.2740
1043.2385,1043.4411,1054.2389,1068.3150,1088.3262,1048.4200,1060.2137,1062.7594,1089.3941,1110.0799,1065.9101,1057.6648,1085.5485,1070.8771,1074.0814,1057.0533,1048.7935,1044.6966,1049.4635,1052.6095,1051.8410,1045.1397,1048.7561
1043.0193,1043.0758,1050.0757,1062.3524,1076.6557,1050.2236,1058.7731,1072.3243,1090.2497,1101.6222,1076.9803,1055.3880,1136.2369,1131.4528,1122.0461,1088.4354,1047.7848,1057.7560,1067.2903,1044.1994,1068.9660,1051.0812,1061.5152
