929.8070,1511.7039,1157.5904,1307.5316,901.0012,945.5600,933.5514,1000.8619,1087.5172,936.4733,924.8081
1511.7039,76890382361077.5469,14934001687428.7773,34338975400384.5234,66235932.5256,1514715.2374,78922.8120,4318362.1450,3546677554.1114,12832273.4114,694046.0785
1157.5904,14934001687428.7910,2008629004599024.2500,191954459463183.9375,2228989556.2749,3396151.7830,127580.5965,6598826.4206,12339966256.4617,81126186.4551,2267503.0773
1307.5316,34338975400384.4453,191954459463184.8438,217157211499661.2812,266933831.4662,3192257.3916,110669.6963,4545924.0660,6415762514.3219,26600347.4592,1076241.5576
901.0012,66235932.5256,2228989556.2749,266933831.4662,8372401.6602,27663.7558,8315.4140,78942.3196,4215212.7457,538161.2842,57754.1022
945.5600,1514715.2374,3396151.7830,3192257.3916,27663.7558,8312.4014,2587.5115,7711.0631,83725.9775,13503.7148,5102.6131
933.5514,78922.8120,127580.5965,110669.6963,8315.4140,2587.5115,1589.5018,3281.4601,13915.4495,4726.2958,2426.1150
1000.8619,4318362.1450,6598826.4206,4545924.0660,78942.3196,7711.0631,3281.4601,15360.4738,197582.1126,28392.0311,8303.8222
1087.5172,3546677554.1114,12339966256.4616,6415762514.3219,4215212.7457,83725.9775,13915.4495,197582.1126,19424806.1808,685600.4039,78101.5933
936.4733,12832273.4114,81126186.4551,26600347.4592,538161.2842,13503.7148,4726.2958,28392.0311,685600.4039,97180.5895,18503.2840
924.8081,694046.0785,2267503.0773,1076241.5576,57754.1022,5102.6131,2426.1150,8303.8222,78101.5933,18503.2840,6045.0254
