2015.7826,1981.1582,3656.2639,7522.1357,2896.4801,2369.2119
1975.1447,2111.2804,3524645393.5807,30672275923.3397,5540118.4099,374365.0978
2211.6386,2126.4444,13475227665569354.0000,53031027957773169044307836928.0000,5663294785257.7383,68331161718.6237
2205.7102,2040.6281,2536942842297688.5000,53799275201781021102047232.0000,575506341847.6462,60204500041.5922
2970.3632,1982.8814,477413483189395501581420881510400.0000,21169624513768633351558482749198478422306717696.0000,148724450618201984.0000,854378123729.8217
2497.6699,2108.0040,623337738115537199693824.0000,109806450598777506418967993031819712236879872.0000,1074102859.0291,457140937471.9572
2014.2592,2064.4900,69802354.2814,83364474297181.3125,34679223.0336,1637053.8667
2282.4635,2284.6622,4194174472131230302208.0000,37394762394525955717862641814726827311104.0000,6050815783953.4082,11719758178.7541
2673.4578,1924.8839,41140639669223344308224.0000,294563738427655222455726528823520462372864.0000,36153993582251.4297,27642793053916.8555
2270.7231,1799.1217,6550240788921.2891,1198445579046559.0000,84507012.1316,111464.4286
2782.4917,2205.9410,58127974038468597358958477312.0000,21851421841003696860633527505299757729782179277232406528.0000,40073893993467.2422,54564919147675.0078
2518.9645,2317.8685,21456164050540890249232384.0000,178718131005974998269890989436709880262598733070336.0000,74227752573050.0312,37051721400209.1797
3284.0492,2088.4353,3439205148483124420924590260224.0000,1542041887294267005581600532949261686612370557048095598706688.0000,44096203330484008.0000,4077249058514256.5000
2357.1211,1932.7852,674131180352604544.0000,44792989776837297400419696246784.0000,1068898296.6285,232309911.0323
2302.8759,1988.1501,92995978193158224.0000,49795020855380555530370358968320.0000,427203465.1185,1539182516.8603
