1342.4852,1443.8303,1341.1765,1360.3401,1437.2637,1423.5023,1237.4269,1247.1122,1657.8574
1557.8295,1430.7373,1544.3065,1508.5904,1530.8005,1549.6392,1461.2013,1491.5714,1534.1488
1662.7832,1363.3682,1671.4957,1619.4756,1483.1606,1558.7995,1723.3483,1775.2539,1340.0307
2499.5253,1526.0388,2445.9160,2006.1093,2288.1079,2287.6405,1733.5119,1656.4549,1349.8359
2076.9356,1721.5676,1835.0631,1775.9775,2761.2584,1936.6050,1755.9131,1818.8714,1745.9295
1585.5298,1598.6936,1510.2862,1564.2077,1858.8107,1668.8080,1433.0435,1438.5197,2066.3716
477910.2507,538166.1965,105541.9966,1827648.4359,31606799.0955,319861.0587,1244121.0626,2020036.9902,357150.9303
45590654090.0820,28366001.4131,5641935184.6819,33861224681.9169,1018968738600.7825,84667465403.7006,4083901559.5319,4396095.0194,1644886398.5573
49119990767707864168757343551488.0000,32957935907054657536.0000,56983902409306959470951137280.0000,483022751036665826784575488.0000,177141039994049073733924028416.0000,229806561103444277972764196864.0000,179555073853460640.0000,24770916798880752.0000,1287509881419360108544.0000
10044903179299304524626625882943475678544319853880916545976643092480.0000,609157709573082046481666787252588817732140531712.0000,109927974403452423495764185700342739985528545076238425952092160.0000,14344091236077948273291207382700142322650319273380556625149952.0000,10277327321316307806499814217415631056017508182121559458832573476348673539445606055936.0000,421361603619274237265535499580281377588139139427991552.0000,262511498865643546581682189069292572347440857141164217744128863109120.0000,6881842773031699767365968606029873374305628192768.0000,3743710937782481419179208879498960807457223639740136443346944.0000
44252365267755238609677378530343357663939855842160075346552340325719936485675761664.0000,441027819681761346871517979314656549073795159707170419628786267060491185140249862864896.0000,4067474352492443924517576821613238325723214901300690944.0000,104028457435077661623106085854739842208723895494591447443642478968096834800609463575248896.0000,13419616896177834212629899597626342795276195657902326429761366297965063976138368754908863399006909347190928513777271701187491883175395821909680551120672139509760.0000,8126331423842626916734395076157165339368335478137317864759125983249313865845738307584.0000,545464505864370776563938891818475036387543199009991535962497873418449023454365286924288.0000,25083986489263067532165543995504364688221118315622948065397266060957112296954276337443784988134558531457578626225908795692360759267676734221882380334923776.0000,279797102667511122120990359865963135813429753671209049978583455717542936459152355509371831002682694661438947577532428589471891456.0000
445891170862534160759966690403233421518431789812571214612859110037599266751814730010042054341901826440316850940508661723346472647946895580200960.0000,95827482620913236759887043031857997856606039900461862346585525898861673115322463272882327702552987556095345487139619957287065357402505216.0000,31867853764459957482405358006623729117974717033453964193254843892105216.0000,638950654255932478164900062857224045725558835581691552805141186100299225162730418825330688.0000,1698552170153785175669930747833336018812225710009099640786227278872974150686090281743503719083843169894880654837902740911717160898950304931009377981449765554059947743857216861157202850506570065321970247965645954066438244462103820051755067352029855226567112587210653696.0000,56346872367397645905206460853343030796211984993682097103827661350225436545915677138763514904576.0000,4416672415195740652039935757774186981547470337968298454619034011049104511502743049942700070773896106261867007353634544466474045105534919820769202541274773677610444333296140604384231187392792252629234573377536.0000,55395476849594804022381766004113877628596403108256220346752337501498807960983336445276729091714182099772215758227594079065492746874671125572968422463522009690236081547333599232.0000,269159127138721677718498740108430015545264377355803907445369549450710379356996880754234882830019215745090123767429218409554424037311411476496384.0000
2574802709069218026071538825065466272292983273902430886862074917596712617829174179985883136.0000,103430216809118293200692368061819111545494478539935323391700585979413653327620513646644718214206040571904.0000,473682810128357522511209600951389965094924453643550720.0000,1078141023595540855597307443083584702956099836818772333694104869255355835425125290322924708525721698950727084795218433140889623347482087661746870800490178649311842166254462627415998347523625549597754768747887216033792.0000,44331343179794033863677512082830192139556798277906892210149621028288433006922753998336194385949678693178625317754347766351944648094245981653370471094075809096101823132991488.0000,330415872840955970604160983833861230193118316342757637908002874313146822483357473867260227185182507008.0000,67973913568189872613309789698670030715335705231503881437315730718825629347860355822499225140185577374157892465730868122059022994526275623869870890164208066773990917970754373597932903928039930637976203064514917743423164487235947487284921366489207625459118596216027034389392088397008698506712675602302461018112.0000,inf,inf
14751149045229698249042127797813600912388208459776.0000,23856024532601803349412798370749708150320419254906650624.0000,13743249878643469685141165588873216.0000,41675052969608910274606934419295316997754346732099741883956268546129920.0000,944117853374290949444941491798443334862471664483469179431768648506320256113493637868587843584.0000,8368970301963714442314593206108644705030570508288.0000,18440931220901936413030315136998532294218858700363586765002739294559834032561778899969943506064509096801413680332800.0000,30545888534398616912536496501749942240212491272548440287957059902670981692371258484701290574553930555124952682074313755522205613595138457600.0000,301173795201473418336836657871701732763653151414430812727277397772367713092124016640.0000
3156066995062418123191760319469207682243858774856999796534680367215268054122768125572384935985289363456.0000,7494605998741121109058388346810649422519419022342824891508588544.0000,3329435291227681146602895612079769275461959365376868352.0000,150972171787611373517977856842790031390474117794704973522751676951385158767215640576.0000,479728298733354487373402890910014301016028194722622061962679206091413302605386304555300119632179092223012203849346023131516123920365256704.0000,17198259774342874591341822147043637505852759409478583239406857551795864993792.0000,41551601306442237306040586496080912854272290912378254670728554046885256352575723707048030156523660291586382114411576483069029495983167153973038302937960388312912997901446908265212413768273504501760.0000,31224135199313481812186829758436813105694916042122270022389217601410733708702820842084649623012300579687741263420171167777786958875025262778544581246976.0000,17727982819634353054229121897220685287886500774803100332055391221931879432192.0000
