2032.2982,2030.0626,1935.7059,2016.2088,2087.6525,2064.8628,1873.4889,1909.5099,2349.0968
2365.8012,1928.8043,2065.0323,2168.7017,1927.8875,2047.4290,2102.4533,2101.3349,1735.4262
3400.6847,2185.2985,2442.7042,3020.2469,2482.7649,2862.5821,2440.6227,2384.2799,2153.6776
18063548.3513,2366319.1514,123863.9117,33152971.5361,3092282.8401,1571846.3624,427512.0692,10793568.5178,1312394.7523
24349572130568220672.0000,174706930354033885184.0000,2026283148136.1318,7379223285421781636985389056.0000,4974560634252405445230592.0000,3587588458121469100032.0000,30403452468618891264.0000,26796686377724566187278336.0000,20621271782009594296926208.0000
133648744596094179517893473457699789889097878029083711773377117915888092264102016662442646117952664895488.0000,536251586179057204678887170593836287131648.0000,8722576981800516503407707363943601672563544989108570063924449037982267080704.0000,617402554967810017140652640069829356374274002498091321526755012725639793248043008.0000,494397546019396585210576512712184340839799980032.0000,27329852709405552073470617411380564647976620484852511197115315517851667389218816.0000,1301715815266712579017398169834178478080.0000,63239819549371185660721625519164381560342777805857391299377758208.0000,1340903518966568786154079489930716219275476992.0000
12869187637115152711674464151771162401447819907026368774996279610805567617086950083428029927784448.0000,46190941624675897438931413698132439352737792.0000,215361686059447171126291239869205614183595906403383576687343324336219051008196608.0000,32445827696949275170138053189654129885839229932284149760.0000,13198652336982127256720571979009824910576261635799295633506429524734057119744.0000,6567216577407309245059992842476003839531169935697046023872753353371942912.0000,760504366872420302193939702863777370234367304160203609080255867915337728.0000,771681202697728274004666366155635088955142359562749030027780842460490071574813949502239279153152.0000,420599325087138763431019362696427451792251407983379347180766353524845869048971916131678212078235858749767024640.0000
14911935225026048761304802708996460497308049816157217434100387945506755641713819150817154916665494707849202351038243864792892289400332457814574675686371524768143626993664.0000,6767456654301572714200459612497645790894786908205705123247470403335539922109404634552217191367201451721804869246311452265962520863053899256456210808700370772328213869387317248.0000,12081914772588912645023573728248359564338690037660582000230184216500737941803418779648.0000,1466113091859707282439389661896584190425470264222695379040106631370140906492687346966233902228552187795615293182510297085201119322806413955026052136014885163606714881413569580143000741628035989504.0000,5485650340039693103224512044604765827574178414082999845234538604806880263560058128897575365719698403177304323204374446231872844486536535874765707333022121473817890967074679761154428818104535529351949129811889857786717403086848.0000,9061207983074963366483396825679799597654065673537993790843341099865128080949285495663420887633035820494188537770414575069017030925081244598272.0000,5960100990363767876240133585517646144188775166515199782911915947282836521348306018375645669321756730740339055693084870279747925479491533762500667729641320617676633456355336104721761593394972071020794519761943586027471035123105172051851549370050227838351155483000108591611904.0000,8328053559755135579939904825609771751492006150574645106070411140180880477251464427280000471160303104525226173061757877437287005994041151997703455442435849989587054265542930039841207312619980233920541378297724928.0000,1176606168216278955190830648687288221215703302434098902935799106278222136473658936417200132280142820707871041450184911806737306634310916797229027542210649250998260707760309921511052192144199367863704562619979818598400.0000
550115249866299446116308550749437703651834451051053559992636141697446082559163636869558211258840955020829973754347864500587900457451520.0000,126576801830007184020420963694608442081252540041900451151791956431715490411195968837846292574891798949610288301286433615076603043483578891729268375552.0000,942377641989846560681190332594741716477881961025312161203220889770368723371780723380393607168.0000,inf,10866151554826555812223099498644163837304272287199971997984129071714481812956921371965963144712979814318997847403382448169939799186118649721329605848904255449945079309729032631403791983192935197729064471300210931724093227008.0000,13397475680371862035915752393160768075027395741421716458045180614173541640692886510296381393753396065089146251525684954046018379962089566573166592.0000,inf,inf,inf
3865957880837607989294006223092840454922754544709465853434789888.0000,628785164983976541662254459132129443367629942435694628350513193001418752.0000,21413741253295652917404389036765243443550101700608.0000,3006039123486541093748502293941122194652976336185817776729628736164828986270966733180717244361912798117728899934095147008.0000,2023484603205052593995660227803869579765785539648859905668053783270633663870312636932929948330737556338121900032.0000,47746783249653999277356799590633113464128762550660187843198976.0000,3136488391541911997049733599687257203170789187174785966003595960220792358997882570082161837551019239976839588731923870438987340160278174837565805748477134654948978553183210853705145200410624.0000,936600006791817191058413409978291388896642742534869801963152627618730666978915685541404946800006853816360154894919408647587416267374198755415450335630374990480139694650376152027399578417202636115206336551650287152676402175298943295624999356858368.0000,7549335380772870097846888527242040967883953437891946650894062872940269946649470979223560446118367274836669139155394181807406703003896627183647196273929000854779092691926103621632.0000
80949594474789668013500362378405621760998261129216000.0000,129221833793037790596591840936178221056.0000,61527125829781382143984795648.0000,11290850373452017313691437429649427295163623747763551900322014167040.0000,1138812477214810815738673505829123680386744509457435839064016489190133239754084319232.0000,60378941937129115487888403508729468625855669338112.0000,4113594566999797784083506354741055375476686725799269450834801926478751589047769948780398322682360787503166624775536640.0000,10857150704971216600001643922432309310427263233781835026511608704669703024135034938520518419622153539129704448.0000,874826659900096226883754848816847256796568613236635692406371582871284487225976806611350318774499083016793820391064731648.0000
1226328936733363142224278013484204032.0000,1821957049099288823958527253938176.0000,117620928728271126528.0000,119637408130563136139615031787520.0000,148235393911173786031397671838409542348416433868767232.0000,1503079653138803490679685120.0000,2998087378168633693530006205203287961372512346945232528552191284215808.0000,373360843112752733697780975645515074297216286710219277672120320.0000,14650909812937754271451075927850401196144599653803496587657216.0000
619492113624092926396216556964489784721408.0000,306531408956390102403600949092438304929480729165824.0000,1865621508398487818993664.0000,1843429932307385235333892276224.0000,238432559861314754505238295257728324044329222001604934874684581908746626884509401874432.0000,255503905691855133948267237977677254098944.0000,2899290216871201711385071174146345039290427619622281060915609600.0000,76751498870287646960551913474377002875092992.0000,9895716055538140655336642928705536.0000
24943023531226623581221045256301627326786010810941440.0000,7551161561191718682083284869101938218563512648656224256.0000,469874298906357465088.0000,1152335019874722314573018305254860699146943669080994310980608750474231808.0000,461886921034549946175904396495633217022594962818131178947558244352.0000,101028502215185431615956489920268391500717490176.0000,184568388464342979953126366505849236905065911109206072709538728666497380927302865209900234429213824226745175604507453348287239684096.0000,481717049082533031023897987775957391697198472349582133369085498634165882249186109699138647322837958811564506998361122787183287605902007236955444609024.0000,153357825154719845030031668001864684504251766948687066095057859569014308041016401041730932519601097241477232197632.0000
160891740661902382150451200.0000,101384808371712770115301801984.0000,1596526965209239.2500,239963707775153864704.0000,11867560042987881174488115010077905384645274235830272.0000,99300769901029627078377472.0000,10432739799024890789397342687791425781760.0000,134473912248275462175640381368041472.0000,563251667168873024.0000
124919096499631488491323392.0000,134892190692411794480168960.0000,635020368826.7266,313624623089978.1875,25807749376856391072653747696035344572728999936.0000,15458222441620416512.0000,463336932497217429558136955469824.0000,38855889608313937920.0000,2897098758813431889920.0000
671657048465485565263872.0000,3132958994751155200.0000,28144276816120.0703,78764896777039920.0000,9242773367617496155962053404655616.0000,187709940658647138304.0000,18175319318165661820460728320.0000,2242736604135734528.0000,234075116541.6354
32468897639032856812453888.0000,178404018070334400888832.0000,2709674330585.4897,79459792804981.1094,180437948862115014632642755557611069071425536.0000,3593537531474315575296.0000,1440072988052266652354818321940480.0000,38464248975893282816.0000,78769959891018.7812
