920.5575,941.4391,917.9865,925.5663,919.8465,922.2166,914.5653,935.2897,925.3690,920.5890,911.8196,925.0326,924.7013
926.4894,899.9305,960.3654,971.1450,967.1327,951.9652,948.7651,889.5481,924.3127,951.6894,960.0574,914.5748,916.4660
930.4289,1894.9539,1180.0804,1097.5646,983.1501,930.6634,1047.8964,948.6909,981.3121,923.9607,912.6191,941.4791,936.1639
1563.1983,6239902.8577,1244972.2562,13949187.9580,255937.5414,573159.5398,29788.7543,2507.1360,12796.6670,150955.2774,12921.2042,1521.4142,2599.4044
3430014.3745,368313769860370868573074096128.0000,13567225190779504640.0000,19790569987733171128500224.0000,19128791358650812525969408.0000,6190345986599087.0000,8040377867768814.0000,4414903.7912,15314123571142.7168,2616821603886980.0000,88116689233.3475,6809074.3454,420121.0747
25903350837.3829,9229743836204539555389249738597946947010560.0000,235765789201626991547042630450445088697876480.0000,10247813120388189754112616961817270316972376064.0000,746234671102839990630203511666218860864864256.0000,9437474523729665534092725971333414912.0000,279118632544799821959482310656.0000,32518480926312860.0000,24433156347348570341376.0000,150217689181612062407373566771200.0000,2392169093947507.5000,124485119355.5059,379259490762033.6250
193114336804591697395712.0000,210632902186638060062842385558393379472545665261189322272389294742481910826284948160612362162641794384628681424192868013024550214007730285319927879976276434506555715780058640262627328.0000,1256366731245203622321516332743479303705210162189287598898624095472140329427927792324769783480988281489182228730181446833204302823745310191180054528.0000,28672453736381373688859745189387008281866303070295269233632361498229877782743381152553733342921207267067344412445146050298643476364567840800544228770491700270961486406450988322547081553642922657494864827688717732788469286808986753470186390172488037302272.0000,5777094207213183304297163370802640449557307440077951971274029103788223740847655417363516604911321785681957534327218977518059472396580811478427769004768884943496376205754561369758934183911179912798158192640.0000,2872133199375283853045411856589727121725360756428974420730260032181511413654262904155239046510929913825706213286859369530024918659625518800482586033310539734307645161472.0000,39342015008311325812853905449215030897302220832768.0000,6426433330090001974935109998210130461177377433984190151393280.0000,288219359189765691237039597977146773210812276095935165470418461113515906171076559335361888284130192487620804608.0000,388433891087453768445912777422042424882613947623094088775927253354389801026138784994755948268709719990925854849649218294956877521051553486703400529895775797248.0000,34591255787839121188328179698063112081880767942679839158944923273599309031998333492292231364608.0000,3491628327386970551968673562624.0000,8945992539409441026059043847226882260992.0000
8666434921112012800.0000,747153660774193497709255846824212833290161732676790683611882877551708128493036653039928389664768.0000,145301716403696571070680976328561961154069289656404980835881680868576033821973554993194559387969985687139936894976.0000,96950597431021555120942397837764333936281222558723636053217635748793963845377212179946642815477793042574321752905094453506970498581626158586103622537363112093806938334016645604097130496.0000,592049313385616299201192255281810900443084968549744314737600795616805227679853128414031379682267330750339725702329196080396335452725092509780148768185778176.0000,285970169495022250910739321034982160263233568523190312074299671933773087584068746745336675234413179827815501861158063843587425744706397536256.0000,204865521876124827287997289557403447161914450019727295119360.0000,140825437326053631889044695431851422149892838686457856.0000,14909691354047367199735794296956403700683643306381977421983433098882337660332933120.0000,23986796882441601707796255031572700488103170321228349814216293699259617762580541406984541733467388861768191872065275919899557888.0000,50707958929622233565788023381978783476869419132302151793795381711601664.0000,5002699459411205873555472384.0000,6868884211095700644684977547199381504.0000
1675722.0401,454836734849446610273089861189632.0000,257596877663629656846391581323296466010112.0000,4006115488390230403631152759098313226432760086790144.0000,2706325100254408613194348395185498488832.0000,23332848384747193304074661648138240.0000,103934530253086195712.0000,18592.9203,8881616304183124688896.0000,447893392214759073888938242342912.0000,802472885016864762370195456.0000,32471.6294,1490608511.6000
257385.0217,7038366104720487358585110375279484169355264.0000,20180568262290443991167008768.0000,6984998053401490303820198836235456774594887680.0000,9974352013026240526037792891359723520.0000,119055038030410733795189719040.0000,2015361870.2796,4201128830629093.0000,251731988015072390676480.0000,8142591384313943561129164800.0000,4213249709577248.0000,413785056.5469,1623840097.0387
1259322.4479,33963847481054027776.0000,6870970684791143268352.0000,6937338199764629974941696000.0000,41925710405779600476995584.0000,562337102847346766512128.0000,339378592870523968.0000,175562.5060,315003705861.6364,1486203529024731611136.0000,506123904102321.6250,2117240.2324,10659050.6409
