928.8814,944.3815,924.4728,948.0383,915.7702,934.2389,927.2168,932.2008,913.9311,953.0467,939.0784,933.6134,924.8417
937.3798,923.8296,950.6838,911.8838,989.9984,923.9413,950.0370,932.5494,1012.5069,933.8267,953.8088,960.5310,949.5349
942.4878,1862.8482,963.6375,1167.5239,938.2761,954.5203,962.1775,944.2387,952.9363,1065.4013,1022.4328,982.8834,928.6050
1677.0168,16297195.8285,4632.6183,73850.8382,113023.2048,1817.7775,9689.2350,4283.1546,512429.6924,3942040.2795,424980.6922,248122.7853,2324.6145
7695406.1114,68204467284036054855712768.0000,26621392729.7261,4417118244142042624.0000,351554584584922304.0000,61098537.7294,1611887797167.4297,643197259.9525,24921684600448232.0000,3538611131872388044554240.0000,9050494574680468357120.0000,2780552683470194212864.0000,19700088.1487
61489668673.6137,40962673149902017615703261232669095687618560.0000,2695356362759644.5000,721510785073695187323903178440704.0000,30146140090384295189807104.0000,112722863732241.8125,2843898551458921.5000,24104686175946.6523,1075888532547724131648675791883984699392.0000,34051994009009309978363901278045776604942780919116285870080.0000,2819308663239511923023146656561364992.0000,405604647988132121295520762948462800665575424.0000,974002409241.6396
13798567987685703548928.0000,305637513211134420367642994196450817604583175225301197551806055259481765622743645490146992793289432913091514537497208592261785646494165789344550024966253968359424.0000,43265036656460866583574109297542531383296.0000,913602090758263521970684707162042127552951927884215622943707092964173087188296802768466510664175284469152184348722266263883478613538456655799567452024533902735045776375808.0000,1113115031109139390444549818697023267033839897901827686224709995223619786615412567464800756455139549006732841713664.0000,620292860152389308218684730690498526523162624.0000,16629144571722844363871745828617456362970433634032069076346034071088412432539843582207190892544.0000,984511055387468448739002865863249903932512705360691492784970922220060672.0000,3192038038292793250560507038888104519988827958491807551518294680176280684575706310740901782584332147442103569152813065959640667746704100680172164147928862025593678154508227575808.0000,460268106270781280107262054298493787470008926866816404246329659223327893913524891349679915575364253608511679139766661836231563601599024224123031697245298472999672909214858093501624758127468719365590975848669085872616417916251402154486805098779377664.0000,502080757041295454155518188108170904341393181943887821801285465114734890166281617219234937528552312117341034277158612289188278853280388772450766327844822888233812976250594078854315577000836469854206222735194113171259392.0000,3876860826425950405728321192485070903619211378131584415717615178640146379426226978565606888718171275960097352262696507876329758934974472083210644068275246460548577520797371906140538072951854385332224.0000,3730439357071289939590692185537773568.0000
1399947713773464576.0000,2570874056012089963256793256949302048737490367359153784947009841400801714037427289247745380167620473470986259267584.0000,1091969914137715238221381632.0000,10851482699451853242357723677535381687010265273972836128959788112385537488250435756886477081476823403269126009991525826560.0000,182954190419310527227543781100020771818628776673566313989852786964391003970509930992445874503680.0000,39998151707497815263468261512052736.0000,12518273363752680931336060136743309172196594951273235641243009024.0000,433059422505471205936120324900828653326158666823368704.0000,5885826323355600955289739708015025007909345450466011807424842271061858081931459598150042587438270536602549818544472588892611673063424.0000,9318746376295710254201823055809569693228742955699499001249759722640550510935072509721348600357378669601708543051388425272708108360323544465692702163479700617117681184181379126817936883050770215657684653259620352.0000,15365056649081180281201211068275760528163974094250722242157775013848204308092994672713949869325236550174263793830443925418087888669660569593080466948446715016904704.0000,15680895712633430443131332981063725203616081723387272491737408979497849194716262629601629264699326666945135952772640210353264132765580041575996689970364416.0000,58117752158989790785124171776.0000
4718064.1613,474932118992789280610706630945800192.0000,6154425966306.0781,431025218643765701562597376.0000,10841104791361577756526817312768.0000,177842068.3585,673619489254654104043520.0000,2462590711729110.0000,548832098594520922572170204399464623183679717376.0000,7769809934596652952802024218427392.0000,30190935108673660927943297583643558412288.0000,730771590557496238383902397476896768.0000,105892400999.8684
192332.4485,6860068079888217821815318501130240.0000,49111745.0951,7095622312319349296901003470981562368.0000,89979437243786304.0000,252245765058.7180,991658555874836864.0000,904376549320877.7500,20691091172737408508624896.0000,152514617233316557277719291972694024051851559698432.0000,464279634478661733012328134842227307315200.0000,6210370437703077554493545524502724608.0000,1581010.8077
