1062.6496,1081.1253,1062.6663,1067.1301,1078.8850,1077.3311,1045.6595,1049.0072,1119.8519
136305851675575776110968832.0000,5578289357173113060919273848832.0000,123895182947353.0781,32859965357443577822631565558315918533165489402599702528.0000,498441941428442075161428739751936.0000,33454688649103368940301582336.0000,12293424746282633952148705942140359536198372033026344091654366841616525598593681889114980352.0000,15459907365215153867471650304665704655983203431031811504654324918702968527080890536112444613574936588047173550080.0000,387653056833079361808209364141000715985080507714178772602576620135986580226910308179908101144576.0000
53001082805866931874129096326041095674789888.0000,680408232673662821809733542871040.0000,4432594713410031058944.0000,1414127253909458583869789651227254273853414703104.0000,31156706462201141272965377391610427550612350798207450873294835679232.0000,92621657813492926474397570564096.0000,1474220434508562419243557011836790386176278587454689236038722054129577814518377912353767544586240.0000,97067901730914154326758864091618267195178515712513571702615011238948995817694817165508608.0000,108581861523060041482592354702359424094593494352218002164161622526071145131330370535424.0000
15074592579543295622070268248265840371874000755752960.0000,557817297092188980350585058629466460258304.0000,8147582128553992388608.0000,10308999964854922558371877715110155623618793881786471375802101437127816705919080039575115577383976960.0000,96847158661410867764465373339803757330116603268201260349624562399403573726916770791424.0000,3086716185384198096462435964905476238084145152.0000,1929270630192259079489645346698474213757753712885374099240982513287514028862248175680885151190150378017081515327244928282812656638922384725342380417443954688.0000,193124000863636836138773799585087438572922767014506117413486363127844726717215129252745345646786042069379662728768611614636103960833793629270020726036018043044484238295716913328940561270450732138496.0000,4035452415142360419293684351271090094142898661633541579363698395691703574586255265986932306157955584255954361682456436019915683197986329591345962029362146594067586091256191659718901113444214717217141688872468480.0000
1177924430476874152002923619758039621314320504249833532424192.0000,1833607815593059179753269849271433289053241344.0000,260472720730039536746233856.0000,5055393262393725117116694944834877390780478540236793247076131457813948006672966536461998135995913317178671104.0000,36650912646974779668119501998770726820659306746306763908969780855367146400242936578048.0000,17101560195600322287251665576304678406662444285952.0000,184976362528759121950814326992152169829346229706175999073294000122335292749520078750170005237399506248949136895069086650862626973905945281845378597778002012888450889207290200085911044096.0000,1741939043758329243548336562138978788424071510880293903113448043919508591487886676539570128189214281586726838048258023490460946400367578331250222460761327490440630322982290526789596935054432381847540127913087965303018618880.0000,486412636859544570140556039057370765281043021828313128066941692517781283998847353540945016405177686806831180751380346512816658047339809077115860057848940148835043700219406211847833999869449499458256982551711186944.0000
44952957259376505364413931474012133474072264704.0000,27859017050083551620250347854896188366702889664512.0000,10955105727638967106404352.0000,2288200379865114638103875129635053753346804123774836569808872223688305179668622558345240999861430517760.0000,168762390623471432452521209155082489994396836335014766247176830976.0000,24995036013252575456733876373909657378529113800704.0000,2045571190288720949000375145569427999052794521449767316507377537308376899860216959360903579837221480961446382862711080319128931972323137114729546000153518926076579938304.0000,3094374295665643576823619919143643114202533471255323803892180854775961359065062883134796002847880460739932799993159404921200193462019850849437578366552700537727700722180988986642202775702139528614059078731169792.0000,32883026827223497871882846028194296665316258994795444237356391863624739646487390739978412018881286397011705262650179115321468015908527141326126719148362611095716015245615208575949596951827154995249152.0000
413008924939534922633738959054944339765493760.0000,769568615471815156532722107319382098051072.0000,98183910021603104904064270336.0000,20375527715364033987286357183274771813672156167906646474550646767091403701878784.0000,50661464495526796990663413877614899895465198500999701911830528.0000,114026221114079970799541932319903787778048000.0000,2265675057315026920066167255203311285604789709461564328376116142296239410066281790755812409731866490506847034226489013439662391296.0000,1323701132837432684812004217885249707605949825091111416701047460557499980925185135265333522971669486447382830372958674834969837036828361045855570344285895260373176549376.0000,81776828681352845067118376483537409807650628387740392671515008993399042118373402854357312101016462059989630504907359575889170338059049238528.0000
2163943192409747270959004422122766336.0000,3114034914812937453886873695961481216.0000,8712083508186523648.0000,24782455113629369300284501108358090313814400565248.0000,48022906712049637851797069101195634654624314808074240.0000,31666003637933050042389626880.0000,212661021145669651537949141343438390874491735414135070431973469613047515047335760494592.0000,163718047859637554691135323417323838079849253759807899682053546498209087488.0000,9835656241041417864889792856834809029853684164479122697769829007360.0000
1472343586208412626173008974387629250380828888189539400061812736.0000,15724030213555969016128683857173020672.0000,894799729127456013708716670976.0000,1433179976025201231071446662578061548620800051144081373516748795649542308201142392193024.0000,4659333695232541806819200436124000179452557517806468703412590620754541204002389860677484056149447051051008.0000,176869564473123735588606456782782074298826752.0000,136716376271782798387450330995248948105756817873242203763546401122890367696970575314786602574303732174620772719151383290873061531258691027242223067463680.0000,106793648522298515180487446648171950571990918427218428747791590720226330269719351391222269698066037078795218089628630044482481269865030991719998007793356969589511905328819385988546560.0000,13503899331204515260465138765419385189202711410590845877484150267625105474831077864585878193965064908835621348701765924480830834370719667194648988464397655882713875915807768805067316002816.0000
1586749062676108140778332533916035263947883868279023761096704.0000,4495865599274256182103375573248240571292422504448.0000,346337584757756319120584867840.0000,26411257935634128486406063114043521622529124249652535292007139799510024192.0000,287745571106738502973717326556079362325745879664069309674341312123057701502634341965649603319151820030742779647754240.0000,1673844932622818821811690098202247168.0000,964496954576770931625048751794044136724627095320818545323862425294923650190718455407562159572029108387840.0000,7139029295815603815588019922739197536706980015595806825619468651623570442824968996195075605535407861241518558137925692580086212756262883087625624023155337068544.0000,521814484771723692279549714232003780781162471217591879873402048851191295607977954847798656958780636321187575008356519044427659628032147522641316544512.0000
8996638607672087012179968.0000,43021265549223188204879872.0000,2093943119168823040.0000,3069600501067658186547209139198330490310947351035904.0000,2318890482615199370308678057984.0000,2410074735573310318154088448.0000,4026027594735860975759589254386368489596059070730749160980200805228707206643318784.0000,20229312694529948786724409502086795714820335239377840604988182683759952469754080165566737162444996608.0000,879584616505337004268038404180501306702901903208634187723044465235956857073563598848.0000
354236354982799540224.0000,67993240874233688.0000,54245176449.0557,67285824272397852083224576.0000,1496955759427332040730348657011381501952.0000,149250809872432.0938,771179135909942071303733797688705024.0000,11508701921612009493642101507971757760388512207601664.0000,20766806483063776859303904780819250262355058552260880498688.0000
1352938351058482102272.0000,20439415813972178767970304.0000,5219218494524034.0000,4658343809603666646654024920727476502528.0000,12139785420305134917222678245454401222213632.0000,307075920265877441740800.0000,9111065527930048906571553614268987317130073606471855112192.0000,536303565018211204077269060511277807213066477939068866778155688851530108392402059264.0000,120532937506923945595395205644701231185420477194312605289356528583704576.0000
426228504197274730496.0000,672757216951317100369991958528.0000,79273192523602.1562,23657022676061867556292911174797630216601600.0000,5794974163933534388695212708452996134138281984.0000,1625995315916532875264000.0000,3084567087165112406545310900896330104662293602412370313359654912.0000,7002670672040979637488686883877521378424941547440006110518618577168069692289102527051333632.0000,4046651121538478166941230454629217913185390923599364699627287146602421183695586066432.0000
65009196596166226840559550464.0000,2502497143534102077699480616960.0000,18101225692199958528.0000,9009195556371738760078317742048124446539184519249920.0000,1172286514651697800887137435180335104.0000,75448900493304619476923086536704.0000,25998626941921799800871593436230410004936001100342304822098327722549081071842144288768.0000,231425927082096062727208576942055186088799728989012367125380968005548298425390315533465875122460033024.0000,10413093103960940768612063717459044508595417823998520720704049616833456547253190656.0000
3084909211625011.0000,45545575666625.0938,436220150.8504,120050050801.0575,660450902597815242934190080.0000,182557551316.3715,358758974202898.3125,126239188886795419648.0000,1238298922568346368.0000
1030185569929778048.0000,3090688662198071.5000,5526146003.8422,728163363235798843392.0000,650191254813062340326457344.0000,83104674857891.6250,1244222056817246695688554534959841280000.0000,83807587859774609205090446661272993792.0000,495670105270860228018484782846393188352.0000
212170286360639.1562,12932330160.3783,26694616.1165,421806325776136667136.0000,178768641936437419180032.0000,46108619751.9143,5754738940245104008107126383706112.0000,20125995237404814378537405228016239378432.0000,24356051646795612715261123210600210472370176.0000
