0.0000,0.2312,0.1816,0.2499,0.1878,0.1623,0.2039,0.0953,0.2065,0.2328,0.3252,0.2242,0.1360,0.1927,0.1909,0.1199,0.2027,0.1312,0.1351,0.0819,0.1369,0.5479,0.1547,0.2387,0.1852,0.3563,0.2569,0.1012,0.2152,0.3806,0.2238,0.1528,0.2346,0.1915,0.1881,0.1590,0.2794,0.2639,0.4149,0.4435,0.2411,0.1564,0.1178,0.3256,0.2789,0.7274,0.1232,0.6081,0.3115,0.3621
0.2312,0.0000,0.2806,0.4077,0.2274,0.2449,0.3216,0.1715,0.2513,0.2415,0.3379,0.3151,0.2594,0.2381,0.2848,0.2937,0.2437,0.3018,0.2471,0.2478,0.2464,0.5096,0.2618,0.3455,0.1786,0.4895,0.2838,0.2618,0.3942,0.3251,0.2792,0.2373,0.2313,0.3365,0.2986,0.2939,0.3312,0.2339,0.3525,0.3738,0.1995,0.1679,0.2722,0.2489,0.3447,0.6991,0.2687,0.6178,0.3264,0.3228
0.1816,0.2806,0.0000,0.3350,0.1966,0.2846,0.3231,0.1682,0.2779,0.3226,0.4256,0.2319,0.2331,0.2844,0.2979,0.1583,0.2989,0.2177,0.1382,0.1742,0.1421,0.5922,0.2746,0.1365,0.2456,0.2150,0.3693,0.1667,0.1780,0.4317,0.3247,0.2377,0.3088,0.3018,0.1148,0.1854,0.3874,0.3445,0.4560,0.5026,0.3059,0.2369,0.1674,0.3835,0.2347,0.7704,0.1761,0.6460,0.4272,0.4472
0.2499,0.4077,0.3350,0.0000,0.3907,0.2351,0.2352,0.3098,0.4076,0.3230,0.4022,0.4295,0.3091,0.3323,0.1868,0.2191,0.2575,0.1647,0.2768,0.2586,0.2381,0.6820,0.2291,0.3950,0.3173,0.5070,0.3538,0.2649,0.4128,0.4781,0.3657,0.3004,0.3025,0.1836,0.3337,0.2918,0.3394,0.3814,0.5468,0.5786,0.3625,0.3392,0.2011,0.4469,0.4295,0.8520,0.3075,0.7201,0.4461,0.5075
0.1878,0.2274,0.1966,0.3907,0.0000,0.2437,0.2923,0.1570,0.1476,0.2701,0.3339,0.1062,0.1851,0.1917,0.3140,0.2399,0.2761,0.2712,0.2445,0.2064,0.2521,0.4907,0.2411,0.2257,0.2325,0.2886,0.2883,0.2061,0.1661,0.3477,0.2080,0.1874,0.3072,0.3095,0.2274,0.1857,0.3026,0.2788,0.3599,0.3553,0.2381,0.1555,0.2559,0.3006,0.2128,0.6536,0.1530,0.5671,0.3265,0.3336
0.1623,0.2449,0.2846,0.2351,0.2437,0.0000,0.1717,0.1727,0.2585,0.1693,0.2483,0.3223,0.2003,0.1870,0.1232,0.2030,0.1112,0.1812,0.2246,0.1990,0.2039,0.5282,0.1237,0.3630,0.1971,0.4902,0.1767,0.2273,0.3908,0.3431,0.1997,0.1585,0.1856,0.2012,0.2938,0.2327,0.1979,0.1973,0.3765,0.3909,0.1891,0.1734,0.2104,0.2886,0.3552,0.7151,0.2393,0.6097,0.2835,0.3235
0.2039,0.3216,0.3231,0.2352,0.2923,0.1717,0.0000,0.2438,0.2903,0.2094,0.2186,0.3528,0.2277,0.2594,0.1762,0.2383,0.2073,0.2003,0.2791,0.2370,0.2625,0.5126,0.1552,0.3885,0.2715,0.5004,0.2241,0.2466,0.3940,0.3659,0.2117,0.2063,0.2666,0.1398,0.3384,0.2425,0.1866,0.2549,0.4144,0.4095,0.2594,0.2369,0.2440,0.3366,0.3813,0.7100,0.2688,0.6086,0.3011,0.3475
0.0953,0.1715,0.1682,0.3098,0.1570,0.1727,0.2438,0.0000,0.2068,0.2125,0.3149,0.2172,0.1604,0.1978,0.2028,0.1609,0.1984,0.1937,0.1359,0.1219,0.1380,0.4725,0.1740,0.2329,0.1722,0.3624,0.2285,0.1320,0.2263,0.3383,0.2290,0.1359,0.2037,0.2578,0.1849,0.1646,0.2793,0.2277,0.3099,0.3966,0.2096,0.1393,0.1696,0.2464,0.2897,0.6687,0.1447,0.5374,0.3209,0.3187
0.2065,0.2513,0.2779,0.4076,0.1476,0.2585,0.2903,0.2068,0.0000,0.2796,0.3269,0.1549,0.1509,0.1884,0.3482,0.2858,0.3095,0.2795,0.3122,0.2405,0.3200,0.5212,0.2606,0.3262,0.2756,0.3882,0.2977,0.2399,0.2466,0.3644,0.1523,0.1984,0.3529,0.3217,0.3108,0.2357,0.3088,0.2987,0.4110,0.3219,0.2688,0.1772,0.3081,0.3393,0.2720,0.6599,0.1981,0.6030,0.2709,0.3143
0.2328,0.2415,0.3226,0.3230,0.2701,0.1693,0.2094,0.2125,0.2796,0.0000,0.2106,0.3545,0.2541,0.2388,0.2024,0.2853,0.1954,0.2754,0.2884,0.2622,0.2784,0.4855,0.1811,0.4071,0.2447,0.5267,0.1810,0.2910,0.4425,0.2951,0.2055,0.2195,0.2286,0.2911,0.3430,0.2954,0.2347,0.1797,0.3280,0.3224,0.1951,0.1824,0.2923,0.2389,0.3665,0.6766,0.3057,0.5912,0.2956,0.2545
