1.00,0.10,0.26,0.26,0.47,0.16,0.56,0.74,0.61,0.19,0.64,0.20,0.76,0.56,0.59,0.70,0.61,0.65,0.68,0.54,0.54,0.59,0.55,0.45,0.49,0.79,0.53,0.61,0.58
0.10,1.00,0.21,0.27,0.31,0.79,0.59,0.42,0.37,0.48,0.48,0.76,0.54,0.72,0.56,0.57,0.61,0.62,0.64,0.74,0.70,0.63,0.51,0.68,0.67,-0.02,0.56,0.62,0.62
0.26,0.21,1.00,0.32,0.48,0.27,0.20,0.17,0.38,0.43,0.21,0.30,0.22,0.31,0.28,0.22,0.11,0.15,0.20,0.07,0.13,0.08,0.23,0.21,0.23,0.41,0.19,0.12,0.09
0.26,0.27,0.32,1.00,0.45,0.24,0.28,0.31,0.31,0.31,0.35,0.27,0.27,0.33,0.23,0.32,0.27,0.25,0.30,0.26,0.20,0.27,0.23,0.39,0.21,0.30,0.23,0.34,0.27
0.47,0.31,0.48,0.45,1.00,0.25,0.30,0.34,0.52,0.51,0.54,0.31,0.41,0.49,0.24,0.50,0.41,0.30,0.47,0.29,0.24,0.37,0.42,0.53,0.23,0.60,0.41,0.47,0.35
0.16,0.79,0.27,0.24,0.26,1.00,0.67,0.48,0.37,0.41,0.53,0.70,0.55,0.62,0.72,0.52,0.62,0.65,0.57,0.70,0.72,0.66,0.68,0.56,0.80,0.18,0.72,0.55,0.67
0.56,0.59,0.20,0.28,0.30,0.67,1.00,0.87,0.70,0.31,0.87,0.57,0.86,0.73,0.84,0.84,0.90,0.93,0.82,0.89,0.91,0.93,0.88,0.79,0.91,0.57,0.91,0.88,0.94
0.74,0.42,0.18,0.31,0.34,0.48,0.87,1.00,0.73,0.28,0.89,0.45,0.91,0.70,0.79,0.86,0.89,0.93,0.83,0.84,0.86,0.90,0.83,0.74,0.83,0.75,0.88,0.87,0.90
0.61,0.37,0.37,0.31,0.52,0.37,0.70,0.73,1.00,0.56,0.84,0.60,0.63,0.74,0.58,0.78,0.74,0.66,0.78,0.66,0.63,0.72,0.63,0.79,0.66,0.74,0.69,0.77,0.72
0.19,0.48,0.43,0.31,0.51,0.41,0.31,0.28,0.61,1.00,0.49,0.57,0.33,0.52,0.30,0.48,0.41,0.28,0.45,0.36,0.32,0.39,0.36,0.56,0.30,0.38,0.39,0.43,0.36
0.64,0.48,0.21,0.35,0.54,0.53,0.87,0.89,0.84,0.49,1.00,0.61,0.81,0.84,0.72,0.92,0.94,0.88,0.90,0.86,0.86,0.94,0.83,0.93,0.83,0.74,0.89,0.95,0.93
0.19,0.76,0.30,0.26,0.31,0.70,0.57,0.45,0.60,0.57,0.61,1.00,0.57,0.76,0.54,0.72,0.68,0.62,0.70,0.73,0.66,0.65,0.44,0.77,0.57,0.19,0.47,0.71,0.62
0.76,0.54,0.22,0.27,0.41,0.55,0.86,0.91,0.63,0.33,0.81,0.57,1.00,0.81,0.79,0.89,0.88,0.96,0.89,0.90,0.89,0.89,0.82,0.71,0.83,0.53,0.84,0.87,0.88
0.56,0.72,0.31,0.33,0.49,0.62,0.73,0.70,0.74,0.52,0.84,0.76,0.81,1.00,0.70,0.90,0.87,0.81,0.95,0.89,0.83,0.85,0.61,0.88,0.71,0.53,0.67,0.88,0.83
0.59,0.56,0.28,0.23,0.24,0.72,0.84,0.79,0.58,0.31,0.72,0.54,0.79,0.70,1.00,0.72,0.78,0.82,0.74,0.79,0.83,0.82,0.88,0.61,0.85,0.56,0.87,0.72,0.83
0.70,0.57,0.22,0.32,0.50,0.52,0.84,0.86,0.78,0.48,0.92,0.72,0.89,0.90,0.72,1.00,0.95,0.90,0.96,0.91,0.88,0.93,0.76,0.88,0.78,0.64,0.82,0.95,0.92
0.61,0.61,0.11,0.27,0.41,0.62,0.90,0.89,0.74,0.41,0.94,0.68,0.88,0.87,0.78,0.95,1.00,0.95,0.94,0.96,0.97,0.99,0.87,0.89,0.88,0.59,0.93,0.96,0.98
0.65,0.62,0.15,0.25,0.30,0.65,0.93,0.93,0.66,0.28,0.88,0.62,0.96,0.81,0.82,0.90,0.95,1.00,0.90,0.96,0.96,0.97,0.88,0.79,0.90,0.56,0.92,0.92,0.96
0.68,0.64,0.20,0.30,0.47,0.57,0.82,0.83,0.78,0.45,0.90,0.70,0.89,0.95,0.75,0.96,0.94,0.90,1.00,0.93,0.90,0.93,0.73,0.89,0.78,0.62,0.79,0.94,0.91
0.54,0.74,0.07,0.26,0.29,0.70,0.89,0.84,0.66,0.36,0.86,0.73,0.90,0.89,0.79,0.91,0.96,0.96,0.93,1.00,0.98,0.97,0.82,0.87,0.87,0.41,0.88,0.94,0.96
0.54,0.70,0.13,0.20,0.24,0.72,0.91,0.86,0.63,0.32,0.86,0.66,0.89,0.83,0.83,0.88,0.97,0.96,0.90,0.98,1.00,0.97,0.90,0.81,0.90,0.47,0.94,0.91,0.97
0.59,0.63,0.08,0.27,0.37,0.66,0.93,0.90,0.72,0.39,0.94,0.65,0.89,0.85,0.82,0.93,0.99,0.97,0.93,0.97,0.97,1.00,0.89,0.89,0.91,0.57,0.94,0.95,0.99
0.55,0.51,0.23,0.23,0.42,0.68,0.88,0.83,0.63,0.36,0.83,0.44,0.82,0.61,0.88,0.76,0.87,0.88,0.73,0.82,0.90,0.89,1.00,0.67,0.88,0.68,0.97,0.75,0.90
0.45,0.68,0.21,0.39,0.53,0.56,0.79,0.74,0.79,0.56,0.93,0.77,0.71,0.88,0.61,0.88,0.89,0.79,0.89,0.87,0.81,0.89,0.67,1.00,0.75,0.53,0.78,0.94,0.87
0.49,0.67,0.23,0.21,0.23,0.80,0.91,0.83,0.66,0.30,0.83,0.57,0.83,0.71,0.85,0.78,0.88,0.90,0.78,0.87,0.90,0.91,0.88,0.75,1.00,0.50,0.92,0.81,0.92
0.79,-0.02,0.41,0.30,0.60,0.18,0.57,0.75,0.74,0.38,0.74,0.19,0.53,0.53,0.56,0.64,0.59,0.56,0.62,0.41,0.47,0.57,0.68,0.53,0.50,1.00,0.66,0.58,0.57
0.53,0.56,0.19,0.23,0.41,0.72,0.91,0.88,0.69,0.39,0.89,0.47,0.84,0.67,0.87,0.82,0.93,0.92,0.79,0.88,0.94,0.94,0.97,0.78,0.92,0.66,1.00,0.84,0.95
0.61,0.62,0.12,0.34,0.47,0.55,0.88,0.87,0.77,0.43,0.95,0.71,0.87,0.88,0.72,0.95,0.96,0.92,0.94,0.94,0.91,0.95,0.75,0.94,0.81,0.58,0.84,1.00,0.94
0.58,0.62,0.09,0.27,0.35,0.67,0.94,0.90,0.72,0.36,0.93,0.62,0.88,0.83,0.83,0.92,0.98,0.96,0.91,0.96,0.97,0.99,0.90,0.87,0.92,0.57,0.95,0.94,1.00
